Question,Answer,Domain
 ১৯২০ চনত অসহযোগ আন্দোলন আৰম্ভ হোৱাৰ লগে লগে কাৰ মৃত্যুৰ সংগতি আছিল?," ১৯২০ চনৰ ১ আগষ্টত অসহযোগ আন্দোলনৰ কথা ঘোষণা কৰা হয়, সেইদিনা পুৱাই বাল গংগাধৰ তিলকৰ মৃত্যুৰ খবৰ আহিল।",Politics
 কোনজন ভাৰতীয় কৰ্মীক জনপ্ৰিয়ভাৱে ‘লোখিতৱাড়ী’ নামেৰে পৰিচিত আছিল?," ৰাও বাহাদুৰ গোপাল হৰি দেশমুখ () লোখিতৱাড়ী নামেৰেও পৰিচিত (১৮ ফেব্ৰুৱাৰী ১৮২৩ – ৯ অক্টোবৰ ১৮৯২) মহাৰাষ্ট্ৰৰ এজন ভাৰতীয় কৰ্মী, চিন্তাবিদ, সমাজ সংস্কাৰক আৰু সাহিত্যিক।",Politics
 ভাৰতৰ প্ৰথম ৰাষ্ট্ৰপতি আৰু আমেৰিকাৰ প্ৰথম ৰাষ্ট্ৰপতি কোন আছিল ?," ৰাজেন্দ্ৰ প্ৰসাদ আছিল এজন ভাৰতীয় ৰাজনীতিবিদ, অধিবক্তা, সাংবাদিক আৰু পণ্ডিত যিয়ে ১৯৫০ চনৰ পৰা ১৯৬২ চনলৈকে ভাৰতৰ প্ৰথম ৰাষ্ট্ৰপতি হিচাপে কাৰ্যনিৰ্বাহ কৰিছিল।জৰ্জ ৱাশ্বিংটন (২২ ফেব্ৰুৱাৰী, ১৭৩২ – ১৪ ডিচেম্বৰ, ১৭৯৯) আছিল এজন আমেৰিকাৰ প্ৰতিষ্ঠাপক পিতৃ, সামৰিক বিষয়া, আৰু ৰাজনীতিবিদ যিয়ে ১৭৮৯ চনৰ পৰা ১৭৯৭ চনলৈকে আমেৰিকাৰ প্ৰথম ৰাষ্ট্ৰপতি হিচাপে কাৰ্যনিৰ্বাহ কৰিছিল।",Politics
 আব্দুল কালাম কোন আছিল? চমুকৈ বৰ্ণনা কৰা।,"এ পি জে আব্দুল কালাম ( ইংৰাজী : APJ Abdul Kalam ; জন্ম: ১৫ অক্টোবৰ, ১৯৩১, ৰামেশ্বৰ, ভাৰত—মৃত্যুৰ ২৭ জুলাই, ২০১৫, শিলচৰ) ভাৰতৰ ক্ষেপণাস্ত্ৰ আৰু পাৰমাণৱিক অস্ত্ৰ কাৰ্যসূচীৰ বিকাশত অগ্ৰণী ভূমিকা গ্ৰহণ কৰা এজন ভাৰতীয় বিজ্ঞানী আৰু ৰাজনীতিবিদ। ২০০২ চনৰ পৰা ২০০৭ চনলৈ তেওঁ ভাৰতৰ ৰাষ্ট্ৰপতি আছিল।",Politics
 মোডীৰ প্ৰথম কাৰ্যকালত ভাৰতৰ বিত্তমন্ত্ৰী কোন আছিল ?, অৰুণ জেটলী (২৮ ডিচেম্বৰ ১৯৫২ – ২৪ আগষ্ট ২০১৯) এজন ভাৰতীয় ৰাজনীতিবিদ আৰু অধিবক্তা আছিল। ভাৰতীয় জনতা পাৰ্টিৰ সদস্য জেটলীয়ে ২০১৪ চনৰ পৰা ২০১৯ চনলৈ ভাৰত চৰকাৰৰ বিত্ত আৰু কৰ্পৰেট পৰিক্ৰমা মন্ত্ৰী হিচাপে কাৰ্যনিৰ্বাহ কৰিছিল।,Politics
 নৰেন্দ্ৰ মোডীৰ শৈক্ষিক অৰ্হতা কি ?," ১৯৭৮ চনত দিল্লী বিশ্ববিদ্যালয়ৰ স্কুল অৱ অ’পেন লাৰ্নিঙৰ পৰা ৰাজনীতি বিজ্ঞানত বি এ ডিগ্ৰী লাভ কৰি তৃতীয় শ্ৰেণীত স্নাতক ডিগ্ৰী লাভ কৰে মোদীয়ে। পাঁচ বছৰৰ পাছত ১৯৮৩ চনত তেওঁ গুজৰাট বিশ্ববিদ্যালয়ৰ পৰা ৰাজনীতি বিজ্ঞানত স্নাতকোত্তৰ ডিগ্ৰী লাভ কৰে, বাহ্যিক দূৰ শিক্ষাৰ ছাত্ৰ হিচাপে।",Politics
অযোধ্যাৰ বিবাদিত গাঁথনি কেতিয়া ভাঙি পেলোৱা হৈছিল? কেনে আছিল ৰাজ্য। চৰকাৰক শাস্তি?, ১৯৯২ চনৰ ৬ ডিচেম্বৰত অযোধ্যা অৰ্থাৎ বাবৰি মছজিদৰ বিতৰ্কিত গাঁথনি ভাঙি পেলোৱা হয়। উত্তৰ প্ৰদেশৰ বিজেপি চৰকাৰক খাৰিজ কৰি উত্তৰ প্ৰদেশৰ মুখ্যমন্ত্ৰীৰ বিৰুদ্ধে উচ্চতম ন্যায়ালয়ত আদালত অৱমাননাৰ গোচৰ ৰুজু কৰা হয়।,Politics
 সংবিধানৰ কোনটো অনুচ্ছেদত ভাৰতৰ ৰাষ্ট্ৰপতি নিৰ্বাচনৰ বিষয়ে আলোচনা কৰা হৈছে?," ভাৰতীয় সংবিধানৰ ৫৪ নং অনুচ্ছেদ অনুসৰি ৰাষ্ট্ৰপতিক নিৰ্বাচনী মহাবিদ্যালয়ৰ দ্বাৰা নিৰ্বাচিত কৰা হয়, য’ত সংসদৰ দুয়োটা সদনৰ নিৰ্বাচিত সদস্য আৰু সকলো ৰাজ্যৰ বিধানসভাৰ নিৰ্বাচিত সদস্য আৰু লগতে দিল্লীৰ এনচিটি আৰু... কেন্দ্ৰীয় শাসিত অঞ্চল পুডুচেৰী।",Politics
 মহাৰাষ্ট্ৰত লোকসভাৰ আসনৰ সংখ্যা কিমান ?, ৪৮খন লোকসভা আসনেৰে ৮০খন আসন থকা উত্তৰ প্ৰদেশৰ পিছতে দ্বিতীয় স্থানত আছে মহাৰাষ্ট্ৰ।,Politics
 সংবিধানৰ খচৰা সমিতিৰ সন্মুখত কোনে প্ৰস্তাৱনা আগবঢ়াইছিল,প্ৰস্তাৱনাখন নেহৰুৰ “বস্তুনিষ্ঠ সমাধান”ৰ ওপৰত ভিত্তি কৰি লিখা হৈছে। জৱাহৰলাল নেহৰুৱে বস্তুনিষ্ঠ প্ৰস্তাৱ প্ৰস্তাৱ কৰিছিল আৰু তেতিয়াই ড° বি আৰ আম্বেদকাৰে সংবিধানৰ পাঠ্য আৰু প্ৰস্তাৱনা ৰচনা কৰিছিল।,Politics
 ১৯৭৩ চনত ভাৰতৰ মুখ্য ন্যায়াধীশ হিচাপে কোনে নিযুক্তি লাভ কৰিছিল? কিয় এই নিযুক্তি বিতৰ্কিত হৈ পৰিল?," ১৯৭৩ চনত চৰকাৰে তিনিজন ন্যায়াধীশৰ জ্যেষ্ঠতা একাষৰীয়া কৰি ন্যায়াধীশ এ এন ৰেক ভাৰতৰ মুখ্য ন্যায়াধীশ হিচাপে নিযুক্তি দিয়ে। এই নিযুক্তি ৰাজনৈতিকভাৱে বিতৰ্কিত হৈ পৰিছিল কাৰণ যিসকল তিনিওজন ন্যায়াধীশক স্থানান্তৰ কৰা হৈছিল, তেওঁলোকে চৰকাৰৰ স্থিতিৰ বিৰুদ্ধে ৰায় দিছিল।",Politics
 ১৯৭৭ চনৰ মাৰ্চ মাহৰ সাধাৰণ নিৰ্বাচনত জনতা পাৰ্টি আৰু ইয়াৰ মিত্ৰ দলসমূহে কিমানখন লোকসভাৰ আসন লাভ কৰিছিল?, লোকসভাৰ ৫৪২খন আসনৰ ভিতৰত ৩৩০খন আসনৰ ভিতৰত জনতা পাৰ্টি আৰু ইয়াৰ মিত্ৰ দলসমূহে লাভ কৰে; জনতা পাৰ্টিয়ে নিজেই ২৯৫খন আসন লাভ কৰি স্পষ্ট সংখ্যাগৰিষ্ঠতা লাভ কৰে।,Politics
