Question,Answer,Domain
1920 সালে কার মৃত্যুতে অসহযোগ আন্দোলনের সূচনা ঘটে?,"1920 সালের 1 আগস্ট অসহযোগ আন্দোলন ঘোষণা করা হয়, একই দিনে খুব ভোরে বাল গঙ্গাধর তিলকের মৃত্যুর খবর আসে।",Politics
কোন ভারতীয় কর্মী 'লোকিতবাদী' নামে পরিচিত ছিলেন?,"রাও বাহাদুর গোপাল হরি দেশমুখ () লোকহিতবাদী নামেও পরিচিত (১৮ ফেব্রুয়ারি ১৮২৩ - ৯ অক্টোবর ১৮৯২) ছিলেন একজন ভারতীয় কর্মী, চিন্তাবিদ, সমাজ সংস্কারক এবং মহারাষ্ট্রের লেখক।",Politics
ভারতের প্রথম রাষ্ট্রপতি এবং মার্কিন যুক্তরাষ্ট্রের প্রথম রাষ্ট্রপতি কে ছিলেন?,"রাজেন্দ্র প্রসাদ ছিলেন একজন ভারতীয় রাজনীতিবিদ, আইনজীবী, সাংবাদিক এবং পণ্ডিত যিনি 1950 থেকে 1962 সাল পর্যন্ত ভারতের প্রথম রাষ্ট্রপতি হিসেবে দায়িত্ব পালন করেছিলেন। জর্জ ওয়াশিংটন (ফেব্রুয়ারি 22, 1732 - 14 ডিসেম্বর, 1799) একজন আমেরিকান প্রতিষ্ঠাতা, সামরিক কর্মকর্তা এবং রাজনীতিবিদ ছিলেন যিনি 1789 থেকে 1797 সাল পর্যন্ত মার্কিন যুক্তরাষ্ট্রের প্রথম রাষ্ট্রপতি হিসেবে দায়িত্ব পালন করেন।",Politics
আবদুল কালাম কে ছিলেন? সংক্ষেপে বর্ণনা করুন।,"এপিজে আব্দুল কালাম (জন্ম 15 অক্টোবর, 1931, রামেশ্বরম, ভারত—মৃত্যু 27 জুলাই, 2015, শিলং) ছিলেন একজন ভারতীয় বিজ্ঞানী এবং রাজনীতিবিদ যিনি ভারতের ক্ষেপণাস্ত্র ও পারমাণবিক অস্ত্র কর্মসূচির উন্নয়নে অগ্রণী ভূমিকা পালন করেছিলেন। তিনি 2002 থেকে 2007 পর্যন্ত ভারতের রাষ্ট্রপতি ছিলেন।",Politics
মোদির প্রথম মেয়াদে ভারতের অর্থমন্ত্রী কে ছিলেন?,"অরুণ জেটলি (28 ডিসেম্বর 1952 - 24 আগস্ট 2019) একজন ভারতীয় রাজনীতিবিদ এবং আইনজীবী ছিলেন। ভারতীয় জনতা পার্টির সদস্য, জেটলি 2014 থেকে 2019 সাল পর্যন্ত ভারত সরকারের অর্থ ও কর্পোরেট বিষয়ক মন্ত্রী হিসেবে দায়িত্ব পালন করেছেন।",Politics
নরেন্দ্র মোদির শিক্ষাগত যোগ্যতা কী?,"1978 সালে, মোদি দিল্লি বিশ্ববিদ্যালয়ের স্কুল অফ ওপেন লার্নিং থেকে রাষ্ট্রবিজ্ঞানে বিএ ডিগ্রি লাভ করেন, তৃতীয় শ্রেণীতে স্নাতক হন। পাঁচ বছর পরে, 1983 সালে, তিনি বহিরাগত দূরশিক্ষার ছাত্র হিসাবে গুজরাট বিশ্ববিদ্যালয় থেকে রাষ্ট্রবিজ্ঞানে স্নাতকোত্তর ডিগ্রি লাভ করেন।",Politics
অযোধ্যার বিতর্কিত স্থাপনা কখন ভেঙে ফেলা হয়? কেমন ছিল রাজ্য। সরকার কি শাস্তি দিয়েছে?,"6ই ডিসেম্বর, 1992-এ অযোধ্যার বিতর্কিত কাঠামো অর্থাৎ বাবরি মসজিদ ভেঙে ফেলা হয়। উত্তরপ্রদেশের বিজেপি সরকারকে বরখাস্ত করা হয়েছিল এবং উত্তর প্রদেশের মুখ্যমন্ত্রীর বিরুদ্ধে সুপ্রিম কোর্টে আদালত অবমাননার জন্য একটি মামলা দায়ের করা হয়েছিল।",Politics
সংবিধানের কোন অনুচ্ছেদে ভারতের রাষ্ট্রপতি নির্বাচনের কথা বলা হয়েছে?,"ভারতের সংবিধানের 54 অনুচ্ছেদ অনুসারে, রাষ্ট্রপতি একটি ইলেক্টোরাল কলেজ দ্বারা নির্বাচিত হন, যা সংসদের উভয় কক্ষের নির্বাচিত সদস্য এবং সমস্ত রাজ্যের আইনসভার নির্বাচিত সদস্য এবং দিল্লির NCT এবং পুদুচেরি কেন্দ্রশাসিত অঞ্চল।",Politics
মহারাষ্ট্রে লোকসভা আসনের সংখ্যা কত?,"48টি লোকসভা আসন সহ, উত্তরপ্রদেশের পরে মহারাষ্ট্র দ্বিতীয় সর্বোচ্চ সংখ্যক আসন রয়েছে, যেখানে 80টি আসন রয়েছে।",Politics
যিনি সংবিধানের খসড়া কমিটির সামনে প্রস্তাবনা উত্থাপন করেছিলেন,"প্রস্তাবনাটি নেহেরুর ""উদ্দেশ্য রেজোলিউশন"" এর উপর ভিত্তি করে তৈরি। জওহরলাল নেহেরু একটি উদ্দেশ্যমূলক রেজোলিউশনের প্রস্তাব করেছিলেন এবং সেই সময় ডক্টর বিআর আম্বেদকর সংবিধানের পাঠ্য এবং প্রস্তাবনাটি ডিজাইন করেছিলেন।",Politics
1973 সালে কে ভারতের প্রধান বিচারপতি নিযুক্ত হন? কেন এই নিয়োগ বিতর্কিত হয়ে উঠল?,"1973 সালে, সরকার তিনজন বিচারপতির জ্যেষ্ঠতাকে সরিয়ে দিয়ে বিচারপতি এএন রায়কে ভারতের প্রধান বিচারপতি হিসেবে নিয়োগ করে। নিয়োগটি রাজনৈতিকভাবে বিতর্কিত হয়ে ওঠে কারণ বরখাস্ত হওয়া তিন বিচারপতিই সরকারের অবস্থানের বিরুদ্ধে রায় দিয়েছিলেন।",Politics
1977 সালের মার্চের সাধারণ নির্বাচনে জনতা পার্টি এবং তার সহযোগীরা কতটি লোকসভা আসন জিতেছিল?,জনতা পার্টি এবং তার সহযোগীরা লোকসভায় 542টি আসনের মধ্যে 330টি আসন জিতেছে; জনতা পার্টি নিজেই 295টি আসন জিতেছে এবং এইভাবে স্পষ্ট সংখ্যাগরিষ্ঠতা ভোগ করেছে।,Politics
