Question,Answer,Domain
1920 च असहयोग आन्दोलन शुरू होने कन्नै किसदी मौत दा मेल हा?,"1 अगस्त 1920 गी असहयोग आन्दोलन दी घोशणा होई, उसी दिन सवेरे-सवेरे बाल गंगाधर तिलक दी मौत दी खबर आई।",Politics
किस भारतीय कार्यकर्ता को लोकप्रिय रूप से 'लोखितवाड़ी' के नाम से जाना जाता था?,"राव बहादुर गोपाल हरि देशमुख () लोखीतवाड़ी दे नां कन्नै बी जानेआ जंदा ऐ (18 फरवरी 1823 – 9 अक्तूबर 1892) महाराष्ट्र दे इक भारतीय कार्यकर्ता, विचारक, समाज सुधारक ते साहित्यकार हे।",Politics
भारत दा पैहला राष्ट्रपति ते यूएसए दा पैहला राष्ट्रपति कुन हा ?,"राजेन्द्र प्रसाद इक भारतीय राजनीतिज्ञ, वकील, पत्रकार ते विद्वान हे जिने 1950 थमां 1962 तगर भारत दे पैह्ले राष्ट्रपति दे तौर उप्पर कम्म कीता हा।जार्ज वाशिंगटन (22 फरवरी, 1732 – 14 दिसंबर, 1799) इक अमेरिकी संस्थापक, फौजी अफसर, ते राजनीतिज्ञ हे जेह्ड़े... 1789 से 1797 तक अमेययकन के ऩहरे प्रेभचॊद के रूऩ भें काभ ककमा।",Politics
अब्दुल कलाम कौन था? संक्षेप च वर्णन करो।,"एपीजे अब्दुल कलाम (जन्म 15 अक्तूबर, 1931, रामेश्वरम, भारत-मौत 27 जुलाई, 2015, शिलांग) इक भारतीय वैज्ञानिक ते राजनीतिज्ञ हे जिने भारत दे मिसाइल ते परमाणु हथियार कार्यक्रमें दे विकास च अग्गें दी भूमिका निभाई ही। 2002 से 2007 तक भारत दे राष्ट्रपति रेह।",Politics
मोदी जी के पहले कार्यकाल में भारत के वित्त मंत्री कौन थे ?,अरुण जेटली (28 दिसंबर 1952 – 24 अगस्त 2019) इक भारतीय राजनेता ते वकील हे। भारतीय जनता पार्टी दे सदस्य जेटली होरें 2014 थमां 2019 तगर भारत सरकार दे वित्त ते निगम मामलें दे मंत्री दे तौर उप्पर कम्म कीता हा।,Politics
नरेंद्र मोदी दी शैक्षणिक योग्यता केह् ऐ ?,"1978 च मोदी होरें दिल्ली यूनिवर्सिटी दे स्कूल आफ ओपन लर्निंग थमां राजनीति विज्ञान च बी.ए. पंज साल बाद 1983 च उने गुजरात यूनिवर्सिटी थमां राजनीति विज्ञान च मास्टर आफ आर्टस दी डिग्री हासल कीती, बाहरले दूरस्थ शिक्षा दे विद्यार्थी दे तौर उप्पर।",Politics
अयोध्या च विवादित ढांचे गी कदूं ढहाया गेआ? राज्य कैसा था। सरकार दी सजा ?,6 दिसंबर 1992 गी अयोध्या यानी बाबरी मस्जिद दा विवादित ढांचे गी ढहा दित्ता गेआ। उत्तर प्रदेश दी बीजेपी सरकार गी खारिज करी दित्ता गेआ ते उत्तर प्रदेश दे मुक्खमंत्री खलाफ सुप्रीम कोर्ट च कोर्ट दी अवमानना दा मामला दर्ज कीता गेआ।,Politics
संविधान दे किस अनुच्छेद च भारत दे राष्ट्रपति दे चुनां दा जिक्र ऐ ?,"भारत दे संविधान दे अनुच्छेद 54 दे मताबक राष्ट्रपति गी इक चुनांऽ कालेज आसेआ चुनेआ जंदा ऐ, जिस च संसद दे दौनें सदनें दे चुने गेदे सदस्य ते सब्बनें राज्यें दे विधान सभाएं दे चुने गेदे सदस्य ते दिल्ली दे एनसीटी ते बी... पुडुचेरी दा केंद्र शासित प्रदेश।",Politics
महाराष्ट्र च लोकसभा सीटें दी गिनतरी किन्नी ऐ ?,"48 लोकसभा सीटें कन्नै महाराष्ट्र उत्तर प्रदेश दे बाद दूई सारें शा मती सीटें पर ऐ, जित्थें 80 सीटें न।",Politics
जिसने संविधान दी मसौदा तैयार करने आली समिति दे सामने प्रस्तावना प्रस्तावित कीता,"प्रस्तावना “उद्देश्य संकल्प” उप्पर आधारित ऐ, नेहरू दे। जवाहरलाल नेहरू होरें इक वस्तुनिष्ठ प्रस्ताव प्रस्तावित कीता ते तदूं गै डाक्टर बी.आर.अम्बेडकर होरें संविधान दा पाठ ते प्रस्तावना तैयार कीता।",Politics
1973 च भारत दा मुक्ख न्यायाधीश किस गी नियुक्त कीता गेआ हा? इस नियुक्ति पर विवाद क्यों हो गया?,"1973 च सरकार नै त्रै जजें दी सीनियरता गी इक पास्सै करी दित्ता ते जस्टिस ए.एन.रे गी भारत दा मुक्ख न्यायाधीश नियुक्त कीता। एह् नियुक्ति राजनीतिक तौर पर इस करिए विवादित होई गेई कीजे जिनेंगी त्रौंऊ जजें गी बदली दित्ता गेआ हा, उनें सरकार दे रुख दे खिलाफ फैसले दित्ते हे।",Politics
मार्च 1977 दे आम चुनाव विच जनता पार्टी अते ओस दे सहयोगी दल ने कितनी लोकसभा सीटें जीती?,लोकसभा च 542 सीटें च जनता पार्टी ते ओह्दे सहयोगियें गी 330 सीटें पर जित्त हासल होई; जनता पार्टी ने खुद 295 सीटें पर जीत हासिल कीती ते इस चाल्ली साफ बहुमत हासल कीता।,Politics
2024 तक महाराष्ट्र के मुख्यमंत्री कौन हैं ?,"एकनाथ संभाजी शिंदे इक भारतीय राजनेता न जेह्ड़े 30 जून 2022 थमां महाराष्ट्र दे 20में ते मौजूदा मुक्खमंत्री दे तौर उप्पर कम्म करा करदे न।ओह् फरवरी 2023 थमां शिवसेना दे नेता ते जुलाई 2022 थमां सदन, महाराष्ट्र विधान सभा दे नेता दे तौर उप्पर बी कम्म करा करदे न .",Politics
