Question,Answer,Domain
Whose death coincided with the launch of the non-cooperation movement in 1920?,"On 1 August 1920, Non-Cooperation Movement was announced, on the same day in the early morning, the news of the death of Bal Gangadhar Tilak arrived.",Politics
Which Indian activist was popularly known as ‘Lokhitwadi’?,"Rao Bahadur Gopal Hari Deshmukh () also known as Lokhitwadi (18 February 1823 – 9 October 1892) was an Indian activist, thinker, social reformer and writer from Maharashtra.",Politics
Who was the first president of india and the first president of USA ?,"Rajendra Prasad was an Indian politician, lawyer, journalist and scholar who served as the first president of India from 1950 to 1962. George Washington (February 22, 1732 – December 14, 1799) was an American Founding Father, military officer, and politician who served as the first president of the United States from 1789 to 1797.",Politics
Who was Abdul Kalam? describe briefly.,"A.P.J. Abdul Kalam (born October 15, 1931, Rameswaram, India—died July 27, 2015, Shillong) was an Indian scientist and politician who played a leading role in the development of India's missile and nuclear weapons programs. He was president of India from 2002 to 2007.",Politics
Who was the finance minister of India during Modi's first term?,"Arun Jaitley (28 December 1952 – 24 August 2019) was an Indian politician and attorney. A member of the Bharatiya Janata Party, Jaitley served as the Minister of Finance and Corporate Affairs of the Government of India from 2014 to 2019.",Politics
What are the educational qualifications of Narendra Modi ?,"In 1978, Modi received a B.A. degree in political science from School of Open Learning at the University of Delhi, graduating with a third class. Five years later, in 1983, he received a Master of Arts degree in political science from Gujarat University, as an external distance learning student.",Politics
When was the disputed structure in Ayodhya demolished? How was the State. Government punished?,"On 6th December, 1992 the disputed structure of Ayodhya i.e Babri Masjid was demolished. The BJP government of Uttar Pradesh was dismissed and a case was registered against the Chief Minister of Uttar Pradesh in Supreme Court for contempt of court.",Politics
Which Article of the Constitution deals with the election of the President of India?,"According to article 54 of the Constitution of India, the President is elected by an Electoral College, which consists of the elected members of both Houses of Parliament and the elected members of the Legislative Assemblies of all the States and also of NCT of Delhi and the Union Territory of Puducherry.",Politics
What is the number of Lok Sabha seats in Maharashtra ?,"With 48 Lok Sabha seats, Maharashtra is has the second-highest number of seats after Uttar Pradesh, which has 80 seats.",Politics
Who proposed the Preamble before the Drafting Committee of the Constitution,"The Preamble is based on “Objective Resolution”, of Nehru. Jawaharlal Nehru proposed an objective resolution and that is when Dr BR Ambedkar designed the text of the constitution and preamble.",Politics
