Question,Answer,Domain
1920 માં અસહકાર ચળવળની શરૂઆત સાથે કોનું મૃત્યુ થયું હતું?,"1 ઓગસ્ટ 1920 ના રોજ અસહકાર આંદોલનની જાહેરાત કરવામાં આવી, તે જ દિવસે વહેલી સવારે બાળ ગંગાધર તિલકના મૃત્યુના સમાચાર આવ્યા.",Politics
કયો ભારતીય કાર્યકર્તા 'લોકહિતવાડી' તરીકે પ્રખ્યાત હતો?,"રાવ બહાદુર ગોપાલ હરિ દેશમુખ () જેને લોકહિતવાદી તરીકે પણ ઓળખવામાં આવે છે (18 ફેબ્રુઆરી 1823 - 9 ઓક્ટોબર 1892) મહારાષ્ટ્રના ભારતીય કાર્યકર, વિચારક, સમાજ સુધારક અને લેખક હતા.",Politics
ભારતના પ્રથમ રાષ્ટ્રપતિ અને યુએસએના પ્રથમ રાષ્ટ્રપતિ કોણ હતા?,"રાજેન્દ્ર પ્રસાદ એક ભારતીય રાજકારણી, વકીલ, પત્રકાર અને વિદ્વાન હતા જેમણે 1950 થી 1962 સુધી ભારતના પ્રથમ રાષ્ટ્રપતિ તરીકે સેવા આપી હતી. જ્યોર્જ વોશિંગ્ટન (ફેબ્રુઆરી 22, 1732 - ડિસેમ્બર 14, 1799) એક અમેરિકન સ્થાપક પિતા, લશ્કરી અધિકારી અને રાજકારણી હતા. 1789 થી 1797 સુધી યુનાઇટેડ સ્ટેટ્સના પ્રથમ પ્રમુખ તરીકે સેવા આપી હતી.",Politics
કોણ હતા અબ્દુલ કલામ? ટૂંકમાં વર્ણન કરો.,"એપીજે અબ્દુલ કલામ (જન્મ ઓક્ટોબર 15, 1931, રામેશ્વરમ, ભારત—મૃત્યુ 27 જુલાઈ, 2015, શિલોંગ) એક ભારતીય વૈજ્ઞાનિક અને રાજકારણી હતા જેમણે ભારતના મિસાઈલ અને પરમાણુ શસ્ત્રોના કાર્યક્રમોના વિકાસમાં અગ્રણી ભૂમિકા ભજવી હતી. તેઓ 2002 થી 2007 સુધી ભારતના રાષ્ટ્રપતિ હતા.",Politics
મોદીના પ્રથમ કાર્યકાળ દરમિયાન ભારતના નાણામંત્રી કોણ હતા?,"અરુણ જેટલી (28 ડિસેમ્બર 1952 - 24 ઓગસ્ટ 2019) એક ભારતીય રાજકારણી અને વકીલ હતા. ભારતીય જનતા પાર્ટીના સભ્ય, જેટલીએ 2014 થી 2019 સુધી ભારત સરકારના નાણા અને કોર્પોરેટ બાબતોના મંત્રી તરીકે સેવા આપી હતી.",Politics
નરેન્દ્ર મોદીની શૈક્ષણિક લાયકાત શું છે?,"1978માં, મોદીએ દિલ્હી યુનિવર્સિટીની સ્કૂલ ઓફ ઓપન લર્નિંગમાંથી પોલિટિકલ સાયન્સમાં બી.એ.ની ડિગ્રી મેળવી, ત્રીજા વર્ગ સાથે સ્નાતક થયા. પાંચ વર્ષ પછી, 1983 માં, તેમણે બાહ્ય અંતર શિક્ષણના વિદ્યાર્થી તરીકે ગુજરાત યુનિવર્સિટીમાંથી રાજકીય વિજ્ઞાનમાં માસ્ટર ઓફ આર્ટ્સની ડિગ્રી મેળવી.",Politics
અયોધ્યામાં વિવાદિત માળખું ક્યારે તોડી પાડવામાં આવ્યું? રાજ્ય કેવું હતું. સરકારે સજા કરી?,"6 ડિસેમ્બર, 1992ના રોજ અયોધ્યાના વિવાદિત ઢાંચાને એટલે કે બાબરી મસ્જિદને તોડી પાડવામાં આવી હતી. ઉત્તર પ્રદેશની ભાજપ સરકારને બરખાસ્ત કરવામાં આવી હતી અને ઉત્તર પ્રદેશના મુખ્યપ્રધાન સામે સુપ્રીમ કોર્ટમાં કોર્ટના તિરસ્કારનો કેસ નોંધવામાં આવ્યો હતો.",Politics
બંધારણની કઇ કલમ ભારતના રાષ્ટ્રપતિની ચૂંટણી સાથે સંબંધિત છે?,"ભારતના બંધારણના અનુચ્છેદ 54 મુજબ, રાષ્ટ્રપતિની ચૂંટણી ઈલેક્ટોરલ કૉલેજ દ્વારા કરવામાં આવે છે, જેમાં સંસદના બંને ગૃહોના ચૂંટાયેલા સભ્યો અને તમામ રાજ્યોની વિધાનસભાઓના ચૂંટાયેલા સભ્યો અને દિલ્હીના NCTના ચૂંટાયેલા સભ્યોનો સમાવેશ થાય છે. કેન્દ્રશાસિત પ્રદેશ પુડુચેરી.",Politics
મહારાષ્ટ્રમાં લોકસભાની બેઠકોની સંખ્યા કેટલી છે?,"48 લોકસભા બેઠકો સાથે, મહારાષ્ટ્ર ઉત્તર પ્રદેશ પછી બીજા ક્રમની સૌથી વધુ બેઠકો ધરાવે છે, જ્યાં 80 બેઠકો છે.",Politics
જેમણે બંધારણની મુસદ્દા સમિતિ સમક્ષ પ્રસ્તાવનાનો પ્રસ્તાવ મૂક્યો હતો,"પ્રસ્તાવના નેહરુના ""ઉદ્દેશ ઠરાવ"" પર આધારિત છે. જવાહરલાલ નેહરુએ એક ઉદ્દેશ્ય ઠરાવનો પ્રસ્તાવ મૂક્યો અને તે જ સમયે ડૉ. બી.આર. આંબેડકરે બંધારણના લખાણ અને પ્રસ્તાવનાની રચના કરી.",Politics
1973માં ભારતના મુખ્ય ન્યાયાધીશ તરીકે કોની નિમણૂક કરવામાં આવી હતી? શા માટે આ નિમણૂક વિવાદાસ્પદ બની?,"1973 માં, સરકારે ત્રણ ન્યાયાધીશોની વરિષ્ઠતાને બાજુ પર મૂકી અને જસ્ટિસ એએન રેને ભારતના મુખ્ય ન્યાયાધીશ તરીકે નિયુક્ત કર્યા. નિમણૂક રાજકીય રીતે વિવાદાસ્પદ બની હતી કારણ કે જે ત્રણેય ન્યાયાધીશોને રદ કરવામાં આવ્યા હતા તેઓએ સરકારના સ્ટેન્ડ વિરુદ્ધ ચુકાદા આપ્યા હતા.",Politics
