Question,Answer,Domain
 1920 में असहयोग आंदोलन की शुरुआत के साथ ही किसकी मृत्यु हो गई?," 1 अगस्त 1920 को असहयोग आंदोलन की घोषणा हुई, उसी दिन सुबह-सुबह बाल गंगाधर तिलक की मृत्यु की खबर आई।",Politics
 कौन से भारतीय कार्यकर्ता लोकप्रिय रूप से 'लोकहितवादी' के नाम से जाने जाते थे?," राव बहादुर गोपाल हरि देशमुख () जिन्हें लोकहितवादी के नाम से भी जाना जाता है (18 फ़रवरी 1823 - 9 अक्टूबर 1892) महाराष्ट्र के एक भारतीय कार्यकर्ता, विचारक, समाज सुधारक और लेखक थे।",Politics
 भारत के प्रथम राष्ट्रपति और संयुक्त राज्य अमेरिका के प्रथम राष्ट्रपति कौन थे?," राजेंद्र प्रसाद एक भारतीय राजनीतिज्ञ, वकील, पत्रकार और विद्वान थे, जिन्होंने 1950 से 1962 तक भारत के पहले राष्ट्रपति के रूप में कार्य किया। जॉर्ज वाशिंगटन (22 फरवरी, 1732 - 14 दिसंबर, 1799) एक अमेरिकी संस्थापक पिता, सैन्य अधिकारी और राजनीतिज्ञ थे, जिन्होंने 1789 से 1797 तक संयुक्त राज्य अमेरिका के पहले राष्ट्रपति के रूप में कार्य किया।",Politics
 अब्दुल कलाम कौन थे? संक्षेप में वर्णन करें।," एपीजे अब्दुल कलाम (जन्म 15 अक्टूबर, 1931, रामेश्वरम, भारत - मृत्यु 27 जुलाई, 2015, शिलांग) एक भारतीय वैज्ञानिक और राजनीतिज्ञ थे, जिन्होंने भारत के मिसाइल और परमाणु हथियार कार्यक्रमों के विकास में अग्रणी भूमिका निभाई थी। वे 1962 से 1970 तक भारत के राष्ट्रपति रहे। 2002 से 2007 तक.",Politics
 मोदी के पहले कार्यकाल के दौरान भारत के वित्त मंत्री कौन थे?," अरुण जेटली (28 दिसंबर 1952 - 24 अगस्त 2019) एक भारतीय राजनीतिज्ञ और वकील थे। भारतीय जनता पार्टी के सदस्य, जेटली ने 2014 से 2019 तक भारत सरकार के वित्त और कॉर्पोरेट मामलों के मंत्री के रूप में कार्य किया।",Politics
 नरेन्द्र मोदी की शैक्षिक योग्यता क्या है?,"1978 में, मोदी ने दिल्ली विश्वविद्यालय के स्कूल ऑफ ओपन लर्निंग से राजनीति विज्ञान में बीए की डिग्री प्राप्त की, जिसमें उन्होंने तृतीय श्रेणी में स्नातक किया। पांच साल बाद, 1983 में, उन्होंने बाहरी दूरस्थ शिक्षा छात्र के रूप में गुजरात विश्वविद्यालय से राजनीति विज्ञान में मास्टर ऑफ आर्ट्स की डिग्री प्राप्त की।",Politics
अयोध्या में विवादित ढांचा कब गिराया गया? राज्य सरकार को कैसे दंडित किया गया?, 6 दिसंबर 1992 को अयोध्या में विवादित ढांचा यानी बाबरी मस्जिद गिरा दी गई। उत्तर प्रदेश की भाजपा सरकार बर्खास्त कर दी गई और उत्तर प्रदेश के मुख्यमंत्री के खिलाफ सुप्रीम कोर्ट में अदालत की अवमानना का मामला दर्ज किया गया।,Politics
 संविधान का कौन सा अनुच्छेद भारत के राष्ट्रपति के चुनाव से संबंधित है?," भारतीय संविधान के अनुच्छेद 54 के अनुसार, राष्ट्रपति का चुनाव एक निर्वाचक मंडल द्वारा किया जाता है, जिसमें संसद के दोनों सदनों के निर्वाचित सदस्य और सभी राज्यों की विधानसभाओं के निर्वाचित सदस्य और राष्ट्रीय राजधानी क्षेत्र दिल्ली और हिमाचल प्रदेश के निर्वाचित सदस्य शामिल होते हैं। संघ शासित प्रदेश पुडुचेरी।",Politics
महाराष्ट्र में लोकसभा सीटों की संख्या कितनी है?," 48 लोकसभा सीटों के साथ महाराष्ट्र, उत्तर प्रदेश के बाद दूसरे स्थान पर है, जहां 80 सीटें हैं।",Politics
 संविधान की प्रारूप समिति के समक्ष प्रस्तावना का प्रस्ताव किसने रखा था,"प्रस्तावना नेहरू के ""उद्देश्य संकल्प"" पर आधारित है। जवाहरलाल नेहरू ने एक उद्देश्य संकल्प प्रस्तावित किया और तभी डॉ. बीआर अंबेडकर ने संविधान और प्रस्तावना का पाठ तैयार किया।",Politics
 1973 में भारत का मुख्य न्यायाधीश किसे नियुक्त किया गया? यह नियुक्ति विवादास्पद क्यों हुई?,"1973 में सरकार ने तीन जजों की वरिष्ठता को दरकिनार कर जस्टिस एएन रे को भारत का मुख्य न्यायाधीश नियुक्त किया। यह नियुक्ति राजनीतिक रूप से विवादास्पद रही क्योंकि जिन तीन जजों को हटाया गया था, उन सभी ने सरकार के रुख के खिलाफ फैसले दिए थे।",Politics
 मार्च 1977 के आम चुनावों में जनता पार्टी और उसके सहयोगियों ने कितनी लोकसभा सीटें जीतीं?,जनता पार्टी और उसके सहयोगियों ने लोकसभा की 542 सीटों में से 330 सीटें जीतीं; जनता पार्टी ने स्वयं 295 सीटें जीतीं और इस प्रकार उसे स्पष्ट बहुमत प्राप्त हुआ।,Politics
 2024 तक महाराष्ट्र के मुख्यमंत्री कौन हैं?, एकनाथ संभाजी शिंदे एक भारतीय राजनीतिज्ञ हैं जो 30 जून 2022 से महाराष्ट्र के 20वें और वर्तमान मुख्यमंत्री के रूप में कार्यरत हैं। वह फरवरी 2023 से शिवसेना के नेता और जुलाई 2022 से महाराष्ट्र विधानसभा के सदन के नेता के रूप में भी कार्यरत हैं। .,Politics
 किस उच्च न्यायालय ने 12 जून 1975 को प्रधानमंत्री इंदिरा गांधी के खिलाफ फैसला सुनाया और उन्हें 1971 की लोकसभा की सदस्यता खोनी पड़ी।,"उत्तर प्रदेश राज्य बनाम राज नारायण (1975 एआईआर 865, 1975 एससीआर (3) 333) 1975 का एक मामला था जिसकी सुनवाई इलाहाबाद उच्च न्यायालय ने की थी जिसमें भारत की प्रधानमंत्री इंदिरा गांधी को चुनावी कदाचार का दोषी पाया गया था।",Politics
 भारत में रियासतों के एकीकरण में सरदार पटेल द्वारा निभाई गई भूमिका की व्याख्या करें।,"सरदार पटेल स्वतंत्रता के तुरंत बाद के महत्वपूर्ण दौर में भारत के उप प्रधानमंत्री और गृह मंत्री थे। उन्होंने रियासतों के शासकों के साथ दृढ़तापूर्वक लेकिन कूटनीतिक तरीके से बातचीत करके उनमें से अधिकांश को भारतीय संघ में शामिल करने में ऐतिहासिक भूमिका निभाई। सरदार पटेल ने भारत में रियासतों के एकीकरण में निम्नलिखित भूमिकाएँ निभाईं: उन्होंने कूटनीति और बातचीत के माध्यम से रियासतों से विलय पत्र प्राप्त किया। उन्होंने हैदराबाद, जूनागढ़, मणिपुर और कश्मीर राज्यों के साथ विलय के लिए बल और अनुनय का प्रयोग किया।",Politics
 1952 के प्रथम आम चुनाव में कांग्रेस पार्टी और भारतीय जनसंघ के चुनाव चिन्ह क्या थे?, 1952 के प्रथम आम चुनाव में कांग्रेस पार्टी का चुनाव चिन्ह बैलों की जोड़ी था तथा भारतीय जनसंघ का चुनाव चिन्ह दीपक था।,Politics
 शिवसेना का मुख्यालय कहां है?, शिवसेना का मुख्यालय और मुख्य कार्यालय ठाणे में आनंद दीघे के घर पर स्थित है। दीघे शिवसेना के मुख्य नेता एकनाथ शिंदे के गुरु और संरक्षक थे। 24 फरवरी 2023 को शिंदे के पार्टी की कमान संभालने के बाद मुख्यालय को शिवसेना भवन से स्थानांतरित कर दिया गया उद्धव ठाकरे से;[75] जबकि ठाकरे के गुट ने शिवसेना भवन पर नियंत्रण बनाए रखा।,Politics
 वह एकमात्र भारतीय राज्य कौन सा था जिसका अपना आधिकारिक ध्वज था?,"जम्मू और कश्मीर का राज्य ध्वज 1952 से 2019 के बीच भारत के भूतपूर्व राज्य जम्मू और कश्मीर में इस्तेमाल किया जाने वाला प्रतीक था, जो भारत के संविधान के अनुच्छेद 370 द्वारा क्षेत्र को दिए गए विशेष दर्जे के तहत था। यह एक लाल और सफ़ेद झंडा था जिसमें हल और राज्य के तीन घटक क्षेत्रों का प्रतिनिधित्व था। अगस्त 2019 में अनुच्छेद 370 के उन्मूलन के बाद, इस ध्वज ने अपना आधिकारिक दर्जा खो दिया।",Politics
 पंजाब में प्रभुत्व रखने वाली तीन राजनीतिक पार्टियों की सूची बताइए?," पुनर्गठित वर्तमान पंजाब की राजनीति में मुख्य रूप से तीन पार्टियों का वर्चस्व है - भारतीय राष्ट्रीय कांग्रेस, आम आदमी पार्टी और शिरोमणि अकाली दल (बादल)।",Politics
 2024 तक उत्तर प्रदेश के स्वास्थ्य मंत्री कौन हैं?," जय प्रताप सिंह (जन्म 7 सितम्बर 1953) एक भारतीय राजनीतिज्ञ हैं जो उत्तर प्रदेश सरकार के योगी आदित्यनाथ मंत्रिमंडल में चिकित्सा एवं स्वास्थ्य, परिवार कल्याण, मातृ एवं शिशु कल्याण मंत्री के रूप में कार्यरत हैं।",Politics
 वर्तमान में 2024 तक मध्य प्रदेश में कौन सी सरकार सत्ता में है?," डॉ. मोहन यादव (जन्म 25 मार्च 1965) एक भारतीय राजनीतिज्ञ और व्यवसायी हैं, जो 2023 से (2024 तक) मध्य प्रदेश के 19वें और वर्तमान मुख्यमंत्री के रूप में कार्यरत हैं। भारतीय जनता पार्टी के सदस्य, वे सदस्य के रूप में उज्जैन दक्षिण निर्वाचन क्षेत्र का प्रतिनिधित्व करते हैं 2013 से मध्य प्रदेश विधान सभा के सदस्य हैं।",Politics
 2007 में उत्तर प्रदेश विधानसभा चुनाव का परिणाम क्या था?, बहुजन समाज पार्टी ने 403 में से 206 सीटें जीतकर विधानसभा में पूर्ण बहुमत हासिल किया।,Politics
 एम. करुणानिधि पहली बार किस निर्वाचन क्षेत्र से तमिलनाडु विधानसभा के लिए चुने गए थे?, Kulithalai,Politics
 दक्षिण भारत का पहला कम्युनिस्ट किसे माना जाता है?,"मलयपुरम सिंगारवेलु को दक्षिण भारत का पहला कम्युनिस्ट माना जाता है। 1925 में, वे भारतीय कम्युनिस्ट पार्टी के संस्थापक सदस्यों में से एक बने; और कानपुर में इसके उद्घाटन सम्मेलन की अध्यक्षता की। उन्हें भारत में पहला ट्रेड यूनियन संगठित करने और 19वीं सदी के भारत में व्याप्त गंभीर अस्पृश्यता के खिलाफ़ लड़ाई लड़ने के लिए भी जाना जाता है।",Politics
 आंध्र प्रदेश की सबसे प्रभावशाली राजनीतिक पार्टी के संस्थापक कौन थे?,तेलुगु देशम पार्टी (टीडीपी; अनुवाद: तेलुगु भूमि की पार्टी) एक भारतीय क्षेत्रीय राजनीतिक पार्टी है जिसका आंध्र प्रदेश और तेलंगाना राज्यों में प्रभाव है। इसकी स्थापना तेलुगु फिल्म स्टार एनटी रामा राव (एनटीआर) ने 29 मार्च 1982 को की थी और इसका ध्यान तेलुगु लोगों को समर्थन देने पर केंद्रित है।,Politics
 कर्नाटक की राजनीति पर हावी जाति समूहों का उल्लेख करें?," कर्नाटक के राजनीतिक माहौल में दो जाति समूहों का वर्चस्व है - दक्षिणी कर्नाटक में वोक्कालिगा का वर्चस्व है और उत्तरी और मध्य कर्नाटक में लिंगायत का वर्चस्व है, लेकिन दलित प्रमुख मतदाता हैं और कर्नाटक में सत्तारूढ़ पार्टी का निर्णायक कारक हैं।",Politics
भारत के किस राज्य ने कम्युनिस्टों को सत्ता में चुना?," केरल ने 1957 में लोकतांत्रिक तरीके से कम्युनिस्टों को सत्ता में चुनकर इतिहास रच दिया, ऐसा करने वाला वह विश्व का पहला राज्य था।",Politics
 प्रशासनिक उद्देश्यों के लिए बिहार में कितने प्रमंडल हैं?,"प्रशासनिक उद्देश्यों के लिए, बिहार राज्य में नौ प्रमंडल हैं - पटना, तिरहुत, सारण, दरभंगा, कोसी, पूर्णिया, भागलपुर, मुंगेर और मगध प्रमंडल - जो आपस में मिलकर अड़तीस जिलों में विभाजित हैं।",Politics
 पश्चिम बंगाल में शरणार्थियों की बाढ़ का क्या परिणाम हुआ?," 1971 के बांग्लादेश मुक्ति युद्ध के परिणामस्वरूप लाखों शरणार्थी पश्चिम बंगाल में आ गए, जिससे इसके बुनियादी ढांचे पर काफी दबाव पड़ा। अंतर्राष्ट्रीय मीडिया ने शरणार्थी संकट से निपटने के लिए सरकार को श्रेय दिया।",Politics
 2024 तक पश्चिम बंगाल में प्रमुख राजनीतिक दल कौन सा है?," अखिल भारतीय तृणमूल कांग्रेस वर्तमान में पश्चिम बंगाल में सत्तारूढ़ राजनीतिक पार्टी है। 2011 के पश्चिम बंगाल विधान सभा चुनाव में वाम मोर्चे को अखिल भारतीय तृणमूल कांग्रेस ने हराया था, जिसने पूर्ण बहुमत हासिल किया था। इसके कारण 34 साल का शासन खत्म हो गया। पश्चिम बंगाल में कम्युनिस्ट शासन खत्म हो गया और दुनिया में सबसे लंबे समय तक लोकतांत्रिक रूप से चुनी गई कम्युनिस्ट सरकार का अंत हो गया। तृणमूल कांग्रेस की नेता ममता बनर्जी मुख्यमंत्री बनीं।",Politics
किस अधिनियम द्वारा उड़ीसा में प्रांतीय विधान सभा के चुनाव का प्रावधान किया गया?, भारत सरकार अधिनियम 1935 में प्रांतीय विधान सभा और सरकार के चुनाव का प्रावधान किया गया तथा सरकार का मुखिया प्रधानमंत्री को बनाया गया।,Politics
