Question,Answer,Domain
 1920 ರಲ್ಲಿ ಅಸಹಕಾರ ಚಳುವಳಿಯ ಪ್ರಾರಂಭದೊಂದಿಗೆ ಯಾರ ಸಾವು ಸಂಭವಿಸಿತು?," 1 ಆಗಸ್ಟ್ 1920 ರಂದು, ಅಸಹಕಾರ ಚಳುವಳಿಯನ್ನು ಘೋಷಿಸಲಾಯಿತು, ಅದೇ ದಿನ ಮುಂಜಾನೆ, ಬಾಲಗಂಗಾಧರ ತಿಲಕರ ನಿಧನದ ಸುದ್ದಿ ಬಂದಿತು.",Politics
 ಯಾವ ಭಾರತೀಯ ಕಾರ್ಯಕರ್ತನನ್ನು 'ಲೋಖಿತ್ವಾಡಿ' ಎಂದು ಜನಪ್ರಿಯವಾಗಿ ಕರೆಯಲಾಗುತ್ತಿತ್ತು?," ರಾವ್ ಬಹದ್ದೂರ್ ಗೋಪಾಲ್ ಹರಿ ದೇಶಮುಖ್ () ಅವರು ಲೋಖಿತ್ವಾಡಿ (18 ಫೆಬ್ರವರಿ 1823 - 9 ಅಕ್ಟೋಬರ್ 1892) ಎಂದೂ ಕರೆಯಲ್ಪಡುವ ಇವರು ಮಹಾರಾಷ್ಟ್ರದ ಭಾರತೀಯ ಕಾರ್ಯಕರ್ತ, ಚಿಂತಕ, ಸಮಾಜ ಸುಧಾರಕ ಮತ್ತು ಬರಹಗಾರರಾಗಿದ್ದರು.",Politics
 ಭಾರತದ ಮೊದಲ ಅಧ್ಯಕ್ಷರು ಮತ್ತು USA ನ ಮೊದಲ ಅಧ್ಯಕ್ಷರು ಯಾರು?," ರಾಜೇಂದ್ರ ಪ್ರಸಾದ್ ಅವರು ಭಾರತೀಯ ರಾಜಕಾರಣಿ, ವಕೀಲರು, ಪತ್ರಕರ್ತರು ಮತ್ತು ವಿದ್ವಾಂಸರಾಗಿದ್ದರು, ಅವರು 1950 ರಿಂದ 1962 ರವರೆಗೆ ಭಾರತದ ಮೊದಲ ಅಧ್ಯಕ್ಷರಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಿದರು. ಜಾರ್ಜ್ ವಾಷಿಂಗ್ಟನ್ (ಫೆಬ್ರವರಿ 22, 1732 - ಡಿಸೆಂಬರ್ 14, 1799) ಒಬ್ಬ ಅಮೇರಿಕನ್ ಸ್ಥಾಪಕ ಪಿತಾಮಹ, ಮಿಲಿಟರಿ ಅಧಿಕಾರಿ ಮತ್ತು ರಾಜಕಾರಣಿ. 1789 ರಿಂದ 1797 ರವರೆಗೆ ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ನ ಮೊದಲ ಅಧ್ಯಕ್ಷರಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಿದರು.",Politics
 ಅಬ್ದುಲ್ ಕಲಾಂ ಯಾರು? ಸಂಕ್ಷಿಪ್ತವಾಗಿ ವಿವರಿಸಿ.," ಎಪಿಜೆ ಅಬ್ದುಲ್ ಕಲಾಂ (ಜನನ ಅಕ್ಟೋಬರ್ 15, 1931, ರಾಮೇಶ್ವರಂ, ಭಾರತ-ಮರಣ ಜುಲೈ 27, 2015, ಶಿಲ್ಲಾಂಗ್) ಭಾರತದ ಕ್ಷಿಪಣಿ ಮತ್ತು ಪರಮಾಣು ಶಸ್ತ್ರಾಸ್ತ್ರಗಳ ಕಾರ್ಯಕ್ರಮಗಳ ಅಭಿವೃದ್ಧಿಯಲ್ಲಿ ಪ್ರಮುಖ ಪಾತ್ರ ವಹಿಸಿದ ಭಾರತೀಯ ವಿಜ್ಞಾನಿ ಮತ್ತು ರಾಜಕಾರಣಿ. ಅವರು 2002 ರಿಂದ 2007 ರವರೆಗೆ ಭಾರತದ ರಾಷ್ಟ್ರಪತಿಯಾಗಿದ್ದರು.",Politics
 ಮೋದಿಯವರ ಮೊದಲ ಅವಧಿಯಲ್ಲಿ ಭಾರತದ ಹಣಕಾಸು ಮಂತ್ರಿ ಯಾರು?, ಅರುಣ್ ಜೇಟ್ಲಿ (28 ಡಿಸೆಂಬರ್ 1952 - 24 ಆಗಸ್ಟ್ 2019) ಒಬ್ಬ ಭಾರತೀಯ ರಾಜಕಾರಣಿ ಮತ್ತು ವಕೀಲರಾಗಿದ್ದರು. ಭಾರತೀಯ ಜನತಾ ಪಕ್ಷದ ಸದಸ್ಯರಾದ ಜೇಟ್ಲಿ ಅವರು 2014 ರಿಂದ 2019 ರವರೆಗೆ ಭಾರತ ಸರ್ಕಾರದ ಹಣಕಾಸು ಮತ್ತು ಕಾರ್ಪೊರೇಟ್ ವ್ಯವಹಾರಗಳ ಸಚಿವರಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಿದ್ದಾರೆ.,Politics
 ನರೇಂದ್ರ ಮೋದಿಯವರ ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆಗಳೇನು?,"1978 ರಲ್ಲಿ, ಮೋದಿ ಅವರು ದೆಹಲಿ ವಿಶ್ವವಿದ್ಯಾನಿಲಯದಲ್ಲಿ ಸ್ಕೂಲ್ ಆಫ್ ಓಪನ್ ಲರ್ನಿಂಗ್‌ನಿಂದ ರಾಜಕೀಯ ವಿಜ್ಞಾನದಲ್ಲಿ ಬಿಎ ಪದವಿ ಪಡೆದರು, ಮೂರನೇ ತರಗತಿಯಲ್ಲಿ ಪದವಿ ಪಡೆದರು. ಐದು ವರ್ಷಗಳ ನಂತರ, 1983 ರಲ್ಲಿ, ಅವರು ಗುಜರಾತ್ ವಿಶ್ವವಿದ್ಯಾನಿಲಯದಿಂದ ರಾಜಕೀಯ ವಿಜ್ಞಾನದಲ್ಲಿ ಮಾಸ್ಟರ್ ಆಫ್ ಆರ್ಟ್ಸ್ ಪದವಿಯನ್ನು ಪಡೆದರು, ಬಾಹ್ಯ ದೂರಶಿಕ್ಷಣ ವಿದ್ಯಾರ್ಥಿಯಾಗಿ.",Politics
ಅಯೋಧ್ಯೆಯ ವಿವಾದಿತ ಕಟ್ಟಡವನ್ನು ಯಾವಾಗ ಕೆಡವಲಾಯಿತು? ರಾಜ್ಯ ಹೇಗಿತ್ತು. ಸರಕಾರ ಶಿಕ್ಷಿಸಿದೆಯೇ?," ಡಿಸೆಂಬರ್ 6, 1992 ರಂದು ಅಯೋಧ್ಯೆಯ ವಿವಾದಿತ ರಚನೆಯನ್ನು ಅಂದರೆ ಬಾಬರಿ ಮಸೀದಿಯನ್ನು ಕೆಡವಲಾಯಿತು. ಉತ್ತರ ಪ್ರದೇಶದ ಬಿಜೆಪಿ ಸರ್ಕಾರವನ್ನು ವಜಾಗೊಳಿಸಲಾಯಿತು ಮತ್ತು ಉತ್ತರ ಪ್ರದೇಶದ ಮುಖ್ಯಮಂತ್ರಿ ವಿರುದ್ಧ ಸುಪ್ರೀಂ ಕೋರ್ಟ್‌ನಲ್ಲಿ ನ್ಯಾಯಾಂಗ ನಿಂದನೆಗಾಗಿ ಪ್ರಕರಣ ದಾಖಲಿಸಲಾಯಿತು.",Politics
 ಸಂವಿಧಾನದ ಯಾವ ಪರಿಚ್ಛೇದವು ಭಾರತದ ರಾಷ್ಟ್ರಪತಿಗಳ ಚುನಾವಣೆಗೆ ಸಂಬಂಧಿಸಿದೆ?," ಭಾರತದ ಸಂವಿಧಾನದ 54 ನೇ ವಿಧಿಯ ಪ್ರಕಾರ, ಸಂಸತ್ತಿನ ಉಭಯ ಸದನಗಳ ಚುನಾಯಿತ ಸದಸ್ಯರು ಮತ್ತು ಎಲ್ಲಾ ರಾಜ್ಯಗಳ ಶಾಸನ ಸಭೆಗಳ ಚುನಾಯಿತ ಸದಸ್ಯರು ಮತ್ತು ದೆಹಲಿಯ NCT ಯ ಚುನಾಯಿತ ಸದಸ್ಯರನ್ನು ಒಳಗೊಂಡಿರುವ ಚುನಾವಣಾ ಕಾಲೇಜಿನಿಂದ ಅಧ್ಯಕ್ಷರನ್ನು ಆಯ್ಕೆ ಮಾಡಲಾಗುತ್ತದೆ. ಪುದುಚೇರಿ ಕೇಂದ್ರಾಡಳಿತ ಪ್ರದೇಶ.",Politics
ಮಹಾರಾಷ್ಟ್ರದ ಲೋಕಸಭಾ ಸ್ಥಾನಗಳ ಸಂಖ್ಯೆ ಎಷ್ಟು?," 48 ಲೋಕಸಭಾ ಸ್ಥಾನಗಳೊಂದಿಗೆ, 80 ಸ್ಥಾನಗಳನ್ನು ಹೊಂದಿರುವ ಉತ್ತರ ಪ್ರದೇಶದ ನಂತರ ಮಹಾರಾಷ್ಟ್ರವು ಎರಡನೇ ಅತಿ ಹೆಚ್ಚು ಸ್ಥಾನಗಳನ್ನು ಹೊಂದಿದೆ.",Politics
 ಸಂವಿಧಾನದ ಕರಡು ಸಮಿತಿಯ ಮುಂದೆ ಪ್ರಸ್ತಾವನೆಯನ್ನು ಯಾರು ಪ್ರಸ್ತಾಪಿಸಿದರು,"ಮುನ್ನುಡಿಯು ನೆಹರೂ ಅವರ ""ವಸ್ತುನಿಷ್ಠ ನಿರ್ಣಯ"" ವನ್ನು ಆಧರಿಸಿದೆ. ಜವಾಹರಲಾಲ್ ನೆಹರು ಅವರು ವಸ್ತುನಿಷ್ಠ ನಿರ್ಣಯವನ್ನು ಪ್ರಸ್ತಾಪಿಸಿದರು ಮತ್ತು ಆಗ ಡಾ ಬಿಆರ್ ಅಂಬೇಡ್ಕರ್ ಅವರು ಸಂವಿಧಾನದ ಪಠ್ಯ ಮತ್ತು ಪೀಠಿಕೆಯನ್ನು ವಿನ್ಯಾಸಗೊಳಿಸಿದರು.",Politics
