Question,Answer,Domain
१९२० वर्सा असहकार चळवळ सुरू जावपाक कोणाचें मरण आयलें?,"१ ऑगस्ट १९२० दिसा असहकार चळवळ जाहीर जाली, त्याच दिसा सकाळीं पयलींच बाल गंगाधर तिलकाच्या मरणाची खबर आयली.",Politics
खंयच्या भारतीय कार्यकर्त्याक ‘लोखीतवाडी’ ह्या नांवान लोकांनी वळखताले?,"रावबहादुर गोपाल हरि देशमुख () लोखीतवाडी ह्या नांवानय वळखतात (१८ फेब्रुवारी १८२३ – ९ ऑक्टोबर १८९२) हो महाराष्ट्रांतलो भारतीय कार्यकर्तो, विचारवंत, समाजसुदारक आनी लेखक.",Politics
भारताचो पयलो अध्यक्ष आनी अमेरिकेचो पयलो अध्यक्ष कोण आशिल्लो ?,"राजेंद्र प्रसाद हो भारतीय राजकारणी, वकील, पत्रकार आनी विद्वान आसून ताणें १९५० ते १९६२ मेरेन भारताचो पयलो अध्यक्ष म्हणून काम केलें.जॉर्ज वॉशिंग्टन (२२ फेब्रुवारी १७३२ – १४ डिसेंबर १७९९) हो अमेरिकन संस्थापक, लश्करी अधिकारी आनी राजकारणी जो... १७८९ ते १७९७ मेरेन अमेरिकेचो पयलो अध्यक्ष म्हणून काम केलें.",Politics
अब्दुल कलाम कोण आशिल्लो? थोडें वर्णन करचें.,ए.पी.जे. 2002 ते 2007 मेरेन तो भारताचो अध्यक्ष आशिल्लो.,Politics
मोदीच्या पयल्या कार्यकाळांत भारताचो अर्थमंत्री कोण आशिल्लो ?,अरुण जेटली (२८ डिसेंबर १९५२ – २४ ऑगस्ट २०१९) हो भारतीय राजकारणी आनी वकील. भारतीय जनता पक्षाचे वांगडी जेटली हांणी 2014 ते 2019 मेरेन भारत सरकाराचे अर्थ आनी कॉर्पोरेट वेव्हार मंत्री म्हणून काम केलें.,Politics
नरेंद्र मोदी हांची शिक्षणीक पात्रताय कितें ?,"1978 वर्सा मोदीन दिल्ली विद्यापिठाच्या स्कूल ऑफ ओपन लर्निंगांतल्यान राजकीय शास्त्रांत बीए पदवी मेळयली आनी तिसऱ्या वर्गांत पदवी मेळयली. पांच वर्सां उपरांत १९८३ वर्सा ताणें गुजरात विद्यापिठाची राजकीय शास्त्रांतली पदव्युत्तर पदवी मेळयली, भायलो अंतर शिक्षण विद्यार्थी म्हणून.",Politics
अयोध्यांतली वादग्रस्त बांदावळ केन्ना मोडली? राज्य कशें आशिल्लें. सरकाराक ख्यास्त?,६ डिसेंबर १९९२ दिसा अयोध्या म्हळ्यार बाबरी मशिदीची वादग्रस्त बांदावळ मोडून उडयली. उत्तर प्रदेशांतलें भाजपा सरकार काडून उडयलें आनी उत्तर प्रदेशाच्या मुख्यमंत्र्या आड न्यायालयाचो अवमान करपा खातीर सर्वोच्च न्यायालयांत खटलो दाखल केलो.,Politics
संविधानाच्या खंयच्या कलमांत भारताच्या अध्यक्षाची वेंचणूक सांगल्या?,"भारताच्या संविधानाच्या ५४ व्या कलमाप्रमाण अध्यक्षाची वेंचणूक वेंचणूक म्हाविद्यालयांतल्यान जाता, तातूंत संसदेच्या दोनूय सभाघरांतले वेंचून आयिल्ले वांगडी आनी सगळ्या राज्यांच्या विधानसभेचे वेंचून आयिल्ले वांगडी आनी तशेंच दिल्लीच्या एनसीटीचे आनी द... पुडुचेरीचो संघराज्य.",Politics
महाराष्ट्रांत लोकसभेच्या जाग्यांची संख्या कितली आसा ?,48 लोकसभा जागे आशिल्ल्या उत्तर प्रदेशा उपरांत महाराष्ट्रांत 80 सुवाती आशिल्ल्या उत्तर प्रदेशा उपरांत दुसरे सुवातेर आसा.,Politics
संविधानाची मसुदो तयार करपी समिती मुखार प्रस्तावना कोणे मांडली,प्रस्तावना नेहरूच्या “उद्देश्य थाराव”चेर आदारीत आसा. जवाहरलाल नेहरून वस्तुनिश्ठ थाराव मांडलो आनी तेन्नाच डॉ बी.आर.,Politics
1973 वर्सा भारताचो मुखेल न्यायाधीश म्हूण कोणाची नेमणूक जाली? ही नेमणूक कित्याक वादग्रस्त जाली?,1973 वर्सा सरकारान तीन न्यायाधीशांची वरिश्ठताय कुशीक दवरून न्यायमूर्ती ए.एन.रे हाका भारताचो मुखेल न्यायाधीश म्हूण नेमणूक केली. ज्या तिनूय न्यायाधीशांनी सरकाराच्या भूमिके आड निर्णय दिल्ल्यान ही नेमणूक राजकी वादग्रस्त जाली.,Politics
मार्च 1977 च्या सार्वत्रिक वेंचणुकेंत जनता पक्ष आनी ताच्या वांगड्यांक कितले लोकसभेचे जागे मेळ्ळे?,लोकसभेंतल्या 542 जाग्यांतल्यान जनता पक्ष आनी ताच्या वांगड्यांक 330 सुवाती मेळ्ळ्यो; जनता पक्षाकच 295 जागे मेळ्ळे आनी अशे तरेन ताका स्पश्ट भोवमत मेळ्ळें.,Politics
2024 वर्सा मेरेन महाराष्ट्राचो मुख्यमंत्री कोण ?,एकनाथ संभाजी शिंदे हो भारतीय राजकारणी 30 जून 2022 सावन महाराष्ट्राचो 20वो आनी सध्याचो मुख्यमंत्री म्हणून काम करता.तशेंच तो फेब्रुवारी 2023 सावन शिवसेनेचो फुडारी आनी जुलय 2022 सावन महाराष्ट्र विधानसभेचो सभाघर फुडारी म्हणून काम करता हें .,Politics
खंयच्या उच्च न्यायालयान 12 जून 1975 दिसा पंतप्रधान इंदिरा गांधीच्या आड निकाल दिलो आनी तिणें 1971 वर्सा लोकभाचें वांगडीपण गमायलें.,"उत्तर प्रदेश राज्य विरुद्ध राज नारायण (१९७५ एआयआर ८६५, १९७५ एससीआर (३) ३३३) ही १९७५ वर्सा अलाहाबाद उच्च न्यायालयान सुनावणी केल्ली केस आसून भारताची प्रधानमंत्री इंदिरा गांधीक वेंचणुकेंतल्या गैरवेव्हाराचो गुन्यांवकार थारायलो.",Politics
भारतांतल्या रियासतांच्या एकीकरणांत सरदार पटेलाची भुमिका स्पश्ट करात.,"स्वातंत्र्या उपरांत रोखडोच म्हत्वाचो काळांत सरदार पटेल भारताचे उपप्रधान आनी गृहमंत्री आशिल्ले. रियासतांच्या राज्यकर्त्यांकडेन घट्ट पूण राजनयिक नदरेन वाटाघाटी करून चडशा राज्यकर्त्यांक भारतीय संघांत हाडपाक ताणें इतिहासीक भुमिका साकारली. भारतांतल्या रियासतांच्या एकीकरणांत सरदार पटेल हाणें फुडले भुमिका केल्यो: मुत्सद्देगिरी आनी वाटाघाटी हांचेवरवीं ताणें रियासतांतल्यान राज्याभिशेकाचें पत्र मेळयलें. हैदराबाद, जुनागढ, मणिपूर आनी काश्मीर ह्या राज्यांवांगडा तांचो विलीनीकरणाखातीर ताणें बळ आनी समजावणी वापरली.",Politics
१९५२ वर्सा जाल्ले पयले सार्वत्रिक वेंचणुकेंत काँग्रेस पक्ष आनी भारतीय जनसंघ हांचे वेंचणुकेचे प्रतीक कितें आशिल्ले?,१९५२ वर्सा जाल्ले पयले भौशीक वेंचणुकेंत काँग्रेस पक्षाचें प्रतीक बैलाची जोडी आनी दिवो (दीपक) हें भारतीय जनसंघाचें प्रतीक आशिल्लें.,Politics
शिवसेनाचे मुखेल कार्यालय खंय आसात ?,ठाणे हांगाच्या आनंद दिघेच्या घरा शिवसेनाचें मुखेल कार्यालय आनी मुखेल कार्यालय आसा. दिघे शिवसेना मुखी नेता (मुखेल फुडारी) एकनाथ शिंदे हाचो गुरू आनी गुरू आशिल्लो. २४ फेब्रुवारी २०२३ दिसा शिंदेन उद्धव ठाकरे हाचेकडल्यान पक्ष घेतले उपरांत मुखेल कार्यालय शिवसेना भवनांतल्यान स्थलांतरीत केलें;[75] जाल्यार ठाकरेच्या गटान शिवसेना भवनाचेर नियंत्रण दवरलें.,Politics
स्वताचो अधिकृत ध्वज आशिल्लो एकमेव भारतीय राज्य खंयचें?,जम्मू-काश्मीराचो राज्यध्वज हो भारताच्या संविधानाच्या कलम ३७० प्रमाण ह्या वाठाराक दिल्ल्या खाशेल्या दर्ज्याखाला १९५२ ते २०१९ ह्या काळांत आदल्या भारतीय राज्यांत जम्मू-काश्मीरांत वापरिल्लें प्रतीक आशिल्लें. तो तांबडो धवो ध्वज आसून तातूंत नांगर आनी राज्यांतले तीन घटक प्रदेश हांचें प्रतिनिधित्व आशिल्लें. ऑगस्ट 2019 वर्सा कलम 370 रद्द जाले उपरांत ह्या ध्वजाचो अधिकृत दर्जो गेलो.,Politics
पंजाबाचेर वर्चस्व गाजोवपी तीन राजकी पक्षांची वळेरी ?,"पुनर्गठित सद्याच्या पंजाबांतल्या राजकारणांत मुखेलपणान तीन पक्षांचो शेक आसा – भारतीय नॅशनल काँग्रेस, आम आदमी पार्टी आनी शिरोमणि अकाली दल (बदल).",Politics
2024 वर्सा मेरेन युपीचो भलायकी मंत्री कोण ?,"जय प्रताप सिंग (जल्म: ७ सप्टेंबर १९५३) हो भारतीय राजकारणी उत्तर प्रदेश सरकाराच्या योगी आदित्यनाथ मंत्रालयांत वैजकी आनी भलायकी, कुटुंब कल्याण, आवय आनी बाल कल्याण मंत्री म्हणून काम करता.",Politics
सध्या 2024 वर्सा एमपींत खंयचें सरकार सत्तेर आसा ?,डॉ.मोहन यादव (जल्म: २५ मार्च १९६५) हो भारतीय राजकारणी आनी वेवसायीक आनी २०२३ सावन (२०२४ मेरेन) मध्य प्रदेशाचो एकुणिसावो आनी सध्याचो मुख्यमंत्री म्हणून काम करता. भारतीय जनता पक्षाचे वांगडी आशिल्ले ते 2013 वर्सा सावन मध्य प्रदेशाच्या विधानसभेचो वांगडी म्हणून उज्जैन दक्षिण मतदारसंघाचें प्रतिनिधित्व करता.,Politics
2007 वर्सा युपी विधानसभा वेंचणुकेचो मतदान परिणाम कितें आशिल्लो?,बहुजन समाज पक्षाक विधानसभेंत पूर्ण भोवमत मेळोवन 403 जाग्यांतल्यान 206 जाग्यांचेर जैत मेळयलें.,Politics
एम.करुनानिधी पयलेच खेपे खंयच्या मतदारसंघांतल्यान तमिळनाडू विधानसभेंत वेंचून आयलो ?,कुलिथलाय,Politics
कोणाक दक्षिण भारताचो पयलो कम्युनिस्ट मानतात,मलयापुरम सिंगारावेलू हो दक्षिण भारतांतलो पयलो कम्युनिस्ट मानतात. १९२५ वर्सा तो भारतीय कम्युनिस्ट पक्षाचो एक संस्थापक जालो; आनी कानपूरांत ताच्या उक्तावण अधिवेशनाचे अध्यक्षपद सांबाळ्ळे. भारतांत पयली कामगार संघटना घडोवन हाडपा खातीरय ताची नामना आसा आनी एकुणिसाव्या शेंकड्यांतल्या भारतांत पातळिल्ल्या खर अस्पृश्यतायाच्या प्रसाराचेर झुजपाक ताची नामना आसा.,Politics
आंध्र प्रदेशांतल्या सगळ्यांत प्रभावी राजकी पक्षाचो संस्थापक कोण आशिल्लो ?,तेलुगू देशम पार्टी (TDP; transl. Party of the Telugu Land) हो भारतीय प्रादेशिक राजकी पक्ष आसून ताचो आंध्र प्रदेश आनी तेलंगणा राज्यांत प्रभाव आसा. तेलुगू सिनेमा स्टार एनटी रामा राव (एनटीआर) हाणें २९ मार्च १९८२ दिसा स्थापन केल्ली आनी तेलुगू लोकांक आदार दिवपाचेर भर दिला.,Politics
कर्नाटकाच्या राजकारणांत वर्चस्व गाजोवपी जाती गटांचो उल्लेख करचो ?,कर्नाटकाच्या राजकीय वातावरणांत दोन जाती गटांचो शेक आसा — दक्षिण कर्नाटकांत वोक्कलिगांचो शेक आनी उत्तर आनी मध्य कर्नाटकांत लिंगायटांचो शेक पूण दलीत हे मुखेल मतदार आनी कर्नाटकांतले सत्ताधारी पक्षाचे निर्णायक घटक,Politics
