Question,Answer,Domain
1920 मे असहयोग आन्दोलन शुरू भेलाक संग केकर मृत्यु भेल?,"1 अगस्त 1920 के असहयोग आन्दोलन के घोषणा भेल, ओही दिन भोरे-भोर बाल गंगाधर तिलक के निधन के खबर आबि गेल |",Politics
किस भारतीय कार्यकर्ता के लोकप्रिय रूप से ‘लोखितवाड़ी’ के नाम से जाना जाता था?,"राव बहादुर गोपाल हरि देशमुख () लोखीतवाडी के नाम से भी जाना जाता है (18 फरवरी 1823 – 9 अक्टूबर 1892) महाराष्ट्र के एक भारतीय कार्यकर्ता, विचारक, समाज सुधारक एवं साहित्यकार थे |",Politics
भारत के पहिल राष्ट्रपति आ अमेरिका के पहिल राष्ट्रपति के छलाह ?,"राजेन्द्र प्रसाद एक भारतीय राजनीतिज्ञ, वकील, पत्रकार और विद्वान थे जो 1950 से 1962 तक भारत के प्रथम राष्ट्रपति के रूप में कार्यरत रहे।जॉर्ज वाशिंगटन (22 फरवरी, 1732 – 14 दिसम्बर, 1799) एक अमेरिकी संस्थापक, सैन्य अधिकारी, और राजनीतिज्ञ थे जो... १७८९ सँ १७९७ धरि अमेरिकाक पहिल राष्ट्रपतिक रूप मे काज केलनि ।",Politics
अब्दुल कलाम के छल? संक्षेप मे वर्णन करू।,"एपीजे अब्दुल कलाम (जन्म १५ अक्टूबर १९३१, रामेश्वरम, भारत-मृत्यु २७ जुलाई २०१५, शिलांग) एक भारतीय वैज्ञानिक आरू राजनीतिज्ञ छेलै जे भारत केरऽ मिसाइल आरू परमाणु हथियार कार्यक्रम के विकास म॑ प्रमुख भूमिका निभैलकै । 2002 सँ 2007 धरि भारतक राष्ट्रपति छलाह ।",Politics
मोदी के पहिल कार्यकाल में भारत के वित्त मंत्री के छलाह ?,अरुण जेटली (२८ दिसम्बर १९५२ – २४ अगस्त २०१९) एक भारतीय राजनीतिज्ञ आ वकील छल । भारतीय जनता पार्टी के सदस्य जेटली 2014 से 2019 तक भारत सरकार के वित्त एवं निगम मामलों के मंत्री के रूप में कार्यरत रहे |,Politics
नरेन्द्र मोदी की शैक्षणिक योग्यता क्या है ?,"1978 मे मोदी दिल्ली विश्वविद्यालय क स्कूल ऑफ ओपन लर्निंग स राजनीति विज्ञान मे बीए डिग्री प्राप्त केलथि, जाहि मे तेसर कक्षा स स्नातक केलथि। पांच साल बाद 1983 मे गुजरात विश्वविद्यालय स राजनीति विज्ञान मे मास्टर ऑफ आर्ट्स क डिग्री प्राप्त केलथि, बाहरी दूरस्थ शिक्षा क छात्र क रूप मे।",Politics
अयोध्या मे विवादित संरचना कहिया तोड़ल गेल? राज्य केहन छल। सरकार के सजा ?,6 दिसम्बर 1992 कए अयोध्या अर्थात बाबरी मस्जिद क विवादित संरचना कए तोड़ि देल गेल । उत्तर प्रदेश के भाजपा सरकार के खारिज क उत्तर प्रदेश के मुख्यमंत्री के खिलाफ कोर्ट के अवमानना के मामला मे सुप्रीम कोर्ट मे मामला दर्ज कायल गेल।,Politics
संविधान के कौन सा अनुच्छेद भारत के राष्ट्रपति के चुनाव के बारे में बताते हैं |,"भारत के संविधान के अनुच्छेद 54 के अनुसार राष्ट्रपति के चुनाव एकटा चुनावी महाविद्यालय द्वारा कयल जाइत अछि, जाहि में संसद के दुनु सदन के निर्वाचित सदस्य आ सब राज्य के विधान सभा के निर्वाचित सदस्य आ दिल्ली के एनसीटी के सेहो आ... पुडुचेरी के केंद्र शासित प्रदेश।",Politics
महाराष्ट्र मे लोकसभा सीट के संख्या कतेक अछि ?,"48 लोकसभा सीट वाला महाराष्ट्र उत्तर प्रदेश के बाद दोसर स्थान पर अछि, जाहि मे 80 सीट अछि.",Politics
संविधान के प्रारूपण समिति के समक्ष प्रस्तावना के प्रस्ताव देलक,"प्रस्तावना “उद्देश्य संकल्प” पर आधारित अछि, नेहरू के | जवाहरलाल नेहरू एकटा वस्तुनिष्ठ संकल्प प्रस्तावित केलनि आ तखने डॉ. बी.आर.अम्बेडकर संविधानक पाठ आ प्रस्तावना के डिजाइन केलनि।",Politics
1973 मे भारतक मुख्य न्यायाधीश के नियुक्ति भेल छल ? ई नियुक्ति विवादित किएक भ गेल?,"1973 मे सरकार तीनटा जज क वरिष्ठता कए एक कात राखि जस्टिस ए एन रे कए भारत क मुख्य न्यायाधीश नियुक्त केलक। ई नियुक्ति राजनीतिक रूप स॑ विवादित होय गेलै, कैन्हेंकि जे तीनों न्यायाधीश क॑ बदली देलऽ गेलै, वू सरकार केरऽ रुख के खिलाफ फैसला देल॑ छेलै ।",Politics
मार्च 1977 के आम चुनाव में जनता पार्टी आ ओकर सहयोगी दल के लोकसभा के कतेक सीट जीतल छल?,जनता पार्टी आ ओकर सहयोगी दल लोकसभा मे 542 सीट मे सं 330 सीट पर जीत हासिल केलक; जनता पार्टी स्वयं 295 सीट पर जीत हासिल केलक आ एहि तरहे ओकरा स्पष्ट बहुमत भेटल।,Politics
2024 तक महाराष्ट्र के मुख्यमंत्री के छथि ?,"एकनाथ संभाजी शिंदे एक भारतीय राजनीतिज्ञ छै जे ३० जून २०२२ स॑ महाराष्ट्र केरऽ २०वाँ आरू वर्तमान मुख्यमंत्री के रूप म॑ काम करी रहलऽ छै ।फरवरी २०२३ स॑ शिवसेना केरऽ नेता आरू जुलाई २०२२ स॑ सदन, महाराष्ट्र विधान सभा के नेता के रूप म॑ भी काम करी रहलऽ छै .",Politics
कोन हाईकोर्ट 12 जून 1975 कए प्रधानमंत्री इंदिरा गांधी क खिलाफ फैसला देलक आ ओ लोकसभा 1971 क सदस्यता गंवा देलक।,"उत्तर प्रदेश राज्य बनाम राज नारायण (1975 एआईआर 865, 1975 एससीआर (3) 333) इलाहाबाद हाईकोर्ट द्वारा सुनवाई 1975 मे भेल एकटा मामला छल जाहि मे भारत क प्रधानमंत्री इंदिरा गांधी कए चुनावी कदाचार क दोषी ठहराउल गेल छल ।",Politics
