Question,Answer,Domain
1920-ൽ നിസ്സഹകരണ പ്രസ്ഥാനം ആരംഭിച്ചപ്പോൾ ആരുടെ മരണം സംഭവിച്ചു?,"1920 ഓഗസ്റ്റ് 1-ന് നിസ്സഹകരണ പ്രസ്ഥാനം പ്രഖ്യാപിക്കപ്പെട്ടു, അതേ ദിവസം അതിരാവിലെ ബാലഗംഗാധര തിലകൻ്റെ മരണവാർത്ത വന്നു.",Politics
ലോകിത്‌വാദി' എന്ന പേരിൽ അറിയപ്പെട്ടിരുന്ന ഇന്ത്യൻ പ്രവർത്തകൻ?,മഹാരാഷ്ട്രയിൽ നിന്നുള്ള ഒരു ഇന്ത്യൻ ആക്ടിവിസ്റ്റും ചിന്തകനും സാമൂഹിക പരിഷ്കർത്താവും എഴുത്തുകാരനുമായിരുന്നു ലോഖിത്വാഡി (18 ഫെബ്രുവരി 1823 - 9 ഒക്ടോബർ 1892) എന്നറിയപ്പെടുന്ന റാവു ബഹാദൂർ ഗോപാൽ ഹരി ദേശ്മുഖ്.,Politics
ഇന്ത്യയുടെ ആദ്യത്തെ പ്രസിഡൻ്റും യുഎസ്എയുടെ ആദ്യത്തെ പ്രസിഡൻ്റും ആരായിരുന്നു?,"1950 മുതൽ 1962 വരെ ഇന്ത്യയുടെ ആദ്യ പ്രസിഡൻ്റായി സേവനമനുഷ്ഠിച്ച ഒരു ഇന്ത്യൻ രാഷ്ട്രീയക്കാരനും അഭിഭാഷകനും പത്രപ്രവർത്തകനും പണ്ഡിതനുമായിരുന്നു രാജേന്ദ്ര പ്രസാദ്. ജോർജ്ജ് വാഷിംഗ്ടൺ (ഫെബ്രുവരി 22, 1732 - ഡിസംബർ 14, 1799) ഒരു അമേരിക്കൻ സ്ഥാപക പിതാവും സൈനിക ഉദ്യോഗസ്ഥനും രാഷ്ട്രീയക്കാരനുമായിരുന്നു. 1789 മുതൽ 1797 വരെ അമേരിക്കയുടെ ആദ്യത്തെ പ്രസിഡൻ്റായി സേവനമനുഷ്ഠിച്ചു.",Politics
ആരായിരുന്നു അബ്ദുൾ കലാം? ചുരുക്കത്തിൽ വിവരിക്കുക.,"എപിജെ അബ്ദുൾ കലാം (ജനനം ഒക്ടോബർ 15, 1931, രാമേശ്വരം, ഇന്ത്യ-മരണം ജൂലൈ 27, 2015, ഷില്ലോംഗ്) ഇന്ത്യയുടെ മിസൈൽ, ആണവായുധ പദ്ധതികളുടെ വികസനത്തിൽ പ്രമുഖ പങ്ക് വഹിച്ച ഒരു ഇന്ത്യൻ ശാസ്ത്രജ്ഞനും രാഷ്ട്രീയക്കാരനുമായിരുന്നു. 2002 മുതൽ 2007 വരെ അദ്ദേഹം ഇന്ത്യയുടെ പ്രസിഡൻ്റായിരുന്നു.",Politics
മോദിയുടെ ആദ്യ ഭരണകാലത്ത് ഇന്ത്യയുടെ ധനമന്ത്രി ആരായിരുന്നു?,"അരുൺ ജെയ്റ്റ്‌ലി (28 ഡിസംബർ 1952 - 24 ഓഗസ്റ്റ് 2019) ഒരു ഇന്ത്യൻ രാഷ്ട്രീയക്കാരനും അഭിഭാഷകനുമായിരുന്നു. ഭാരതീയ ജനതാ പാർട്ടി അംഗമായ ജെയ്റ്റ്‌ലി 2014 മുതൽ 2019 വരെ ഇന്ത്യാ ഗവൺമെൻ്റിൻ്റെ ധനകാര്യ, കോർപ്പറേറ്റ് കാര്യ മന്ത്രിയായി സേവനമനുഷ്ഠിച്ചു.",Politics
നരേന്ദ്ര മോദിയുടെ വിദ്യാഭ്യാസ യോഗ്യതകൾ എന്തൊക്കെയാണ്?,"1978-ൽ ഡൽഹി സർവകലാശാലയിലെ സ്കൂൾ ഓഫ് ഓപ്പൺ ലേണിംഗിൽ നിന്ന് പൊളിറ്റിക്കൽ സയൻസിൽ ബിഎ ബിരുദം നേടിയ മോദി മൂന്നാം ക്ലാസോടെ ബിരുദം നേടി. അഞ്ച് വർഷത്തിന് ശേഷം, 1983-ൽ ഗുജറാത്ത് സർവ്വകലാശാലയിൽ നിന്ന് പൊളിറ്റിക്കൽ സയൻസിൽ ബിരുദാനന്തര ബിരുദം നേടി.",Politics
എപ്പോഴാണ് അയോധ്യയിലെ തർക്ക കെട്ടിടം തകർത്തത്? എങ്ങനെയായിരുന്നു സംസ്ഥാനം. സർക്കാർ ശിക്ഷിച്ചോ?,1992 ഡിസംബർ 6 ന് അയോധ്യയുടെ തർക്ക ഘടന അതായത് ബാബറി മസ്ജിദ് തകർക്കപ്പെട്ടു. ഉത്തർപ്രദേശിലെ ബി.ജെ.പി സർക്കാർ പിരിച്ചുവിടുകയും ഉത്തർപ്രദേശ് മുഖ്യമന്ത്രിക്കെതിരെ കോടതിയലക്ഷ്യത്തിന് സുപ്രീം കോടതിയിൽ കേസ് രജിസ്റ്റർ ചെയ്യുകയും ചെയ്തു.,Politics
ഭരണഘടനയുടെ ഏത് അനുച്ഛേദമാണ് ഇന്ത്യൻ രാഷ്ട്രപതിയെ തിരഞ്ഞെടുക്കുന്നത്?,"ഇന്ത്യൻ ഭരണഘടനയുടെ ആർട്ടിക്കിൾ 54 അനുസരിച്ച്, രാഷ്ട്രപതിയെ തിരഞ്ഞെടുക്കുന്നത് ഒരു ഇലക്ടറൽ കോളേജാണ്, അതിൽ പാർലമെൻ്റിൻ്റെ ഇരുസഭകളിലെയും തിരഞ്ഞെടുക്കപ്പെട്ട അംഗങ്ങളും എല്ലാ സംസ്ഥാനങ്ങളിലെയും നിയമസഭകളിലെയും ഡൽഹിയിലെ എൻസിടിയിലെയും തിരഞ്ഞെടുക്കപ്പെട്ട അംഗങ്ങളും ഉൾപ്പെടുന്നു. കേന്ദ്രഭരണ പ്രദേശം പുതുച്ചേരി.",Politics
മഹാരാഷ്ട്രയിലെ ലോക്‌സഭാ സീറ്റുകളുടെ എണ്ണം എത്ര?,"48 ലോക്‌സഭാ സീറ്റുകളുള്ള മഹാരാഷ്ട്ര, 80 സീറ്റുകളുള്ള ഉത്തർപ്രദേശിന് ശേഷം ഏറ്റവും കൂടുതൽ സീറ്റുകളുള്ള രണ്ടാമത്തെ സംസ്ഥാനമാണ്.",Politics
ഭരണഘടനയുടെ ഡ്രാഫ്റ്റിംഗ് കമ്മിറ്റിക്ക് മുമ്പാകെ ആരാണ് ആമുഖം നിർദ്ദേശിച്ചത്,"ആമുഖം നെഹ്രുവിൻ്റെ ""ഒബ്ജക്റ്റീവ് റെസല്യൂഷൻ"" അടിസ്ഥാനമാക്കിയുള്ളതാണ്. ജവഹർലാൽ നെഹ്‌റു ഒരു വസ്തുനിഷ്ഠമായ പ്രമേയം നിർദ്ദേശിച്ചു, അപ്പോഴാണ് ഡോ ബി ആർ അംബേദ്കർ ഭരണഘടനയുടെയും ആമുഖത്തിൻ്റെയും വാചകം രൂപകൽപ്പന ചെയ്തത്.",Politics
