Question,Answer,Domain
꯱꯹꯲꯰ꯗꯥ ꯅꯟ-ꯀꯣꯑꯣꯄꯔꯦꯁꯟ ꯃꯨꯕꯃꯦꯟꯇ ꯍꯧꯗꯣꯀꯄꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯀꯅꯥꯒꯤ ꯁꯤꯈꯤꯕꯒꯦ?,"꯱꯹꯲꯰ꯒꯤ ꯑꯣꯒꯁ꯭ꯠ ꯱ꯗꯥ ꯅꯟ-ꯀꯣꯑꯣꯄꯔꯦꯁꯟ ꯃꯨꯕꯃꯦꯟꯇ ꯂꯥꯎꯊꯣꯀꯈꯤ, ꯅꯨꯃꯤꯠ ꯑꯗꯨꯃꯛꯇꯗꯥ ꯑꯌꯨꯛ ꯑꯉꯅꯕꯗꯥ ꯕꯥꯜ ꯒꯉ꯭ꯒꯥꯙꯔ ꯇꯤꯂꯛ ꯁꯤꯈꯤꯕꯒꯤ ꯄꯥꯎ ꯂꯥꯀꯈꯤ꯫",Politics
ꯃꯤꯌꯥꯝꯅꯥ â€ ̃ꯂꯣꯈꯤꯇꯋꯥꯗꯤâ€TM ꯍꯥꯌꯅꯥ ꯃꯤꯌꯥꯝꯅꯥ ꯈꯉꯅꯔꯝꯕꯥ ꯚꯥꯔꯇꯀꯤ ꯑꯦꯛꯇꯤꯕꯤꯁ꯭ꯠ ꯀꯅꯥꯅꯣ?,"ꯂꯣꯈꯤꯇꯋꯥꯗꯤ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ ꯔꯥꯑꯣ ꯕꯍꯥꯗꯨꯔ ꯒꯣꯄꯥꯜ ꯍꯔꯤ ꯗꯦꯁꯃꯨꯈ () () ꯐꯦꯕ꯭ꯔꯨꯋꯥꯔꯤ ꯱꯸, ꯱꯸꯲꯳ â€“ ꯑꯣꯛꯇꯣꯕꯔ ꯹, ꯱꯸꯹꯲) ꯑꯁꯤ ꯃꯍꯥꯔꯥꯁ꯭ꯠꯔꯒꯤ ꯚꯥꯔꯇꯀꯤ ꯑꯦꯛꯇꯤꯕꯤꯁ꯭ꯠ, ꯋꯥꯈꯜ ꯂꯧꯁꯤꯡ ꯂꯩꯕꯥ, ꯁꯣꯁꯤꯑꯦꯜ ꯔꯤꯐꯣꯔꯃꯔ ꯑꯃꯁꯨꯡ ꯑꯏꯕꯥ ꯑꯃꯅꯤ꯫",Politics
ꯚꯥꯔꯇꯀꯤ ꯑꯍꯥꯅꯕꯥ ꯔꯥꯁ꯭ꯠꯔꯄꯇꯤ ꯑꯃꯁꯨꯡ ꯌꯨ.ꯑꯦꯁ.ꯑꯦ.ꯒꯤ ꯑꯍꯥꯅꯕꯥ ꯔꯥꯁ꯭ꯠꯔꯄꯇꯤ ꯀꯅꯥꯅꯣ ?,"ꯔꯥꯖꯦꯟꯗ꯭ꯔ ꯄ꯭ꯔꯁꯥꯗ ꯑꯁꯤ ꯚꯥꯔꯇꯀꯤ ꯔꯥꯖꯅꯤꯇꯤꯋꯥꯂꯥ, ꯎꯀꯤꯜ, ꯄꯥꯎꯃꯤ ꯑꯃꯁꯨꯡ ꯁ꯭ꯀꯣꯂꯥꯔ ꯑꯃꯅꯤ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯅꯥ ꯱꯹꯵꯰ꯗꯒꯤ ꯱꯹꯶꯲ ꯐꯥꯑꯣꯕꯥ ꯚꯥꯔꯇꯀꯤ ꯑꯍꯥꯅꯕꯥ ꯔꯥꯁ꯭ꯠꯔꯄꯇꯤ ꯑꯣꯏꯅꯥ ꯊꯕꯛ ꯇꯧꯈꯤ꯫ꯖꯔꯖ ꯋꯥꯁꯤꯡꯇꯟ (ꯐꯦꯕ꯭ꯔꯨꯋꯥꯔꯤ ꯲꯲, ꯱꯷꯳꯲ â€“ ꯗꯤꯁꯦꯝꯕꯔ ꯱꯴, ꯱꯷꯹꯹) ꯑꯁꯤ ꯑꯃꯦꯔꯤꯀꯥꯒꯤ ꯐꯥꯎꯟꯗꯤꯡ ꯐꯥꯗꯔ, ꯃꯤꯂꯤꯇꯔꯤ ꯑꯣꯐꯤꯁꯥꯔ, ꯑꯃꯁꯨꯡ... ꯱꯷꯸꯹ꯗꯒꯤ ꯱꯷꯹꯷ ꯐꯥꯑꯣꯕꯥ ꯑꯃꯦꯔꯤꯀꯥꯒꯤ ꯑꯍꯥꯅꯕꯥ ꯔꯥꯁ꯭ꯠꯔꯄꯇꯤ ꯑꯣꯏꯅꯥ ꯊꯕꯛ ꯇꯧꯈꯤꯕꯥ ꯔꯥꯖꯅꯤꯇꯤꯋꯥꯂꯥ꯫",Politics
ꯑꯕ꯭ꯗꯨꯜ ꯀꯂꯥꯝ ꯀꯅꯥꯅꯣ? ꯁꯟꯗꯣꯛꯅꯥ ꯇꯥꯀꯄꯤꯌꯨ꯫,"ꯑꯦ.ꯄꯤ.ꯖꯦ.ꯑꯕ꯭ꯗꯨꯜ ꯀꯂꯥꯝ (ꯄꯣꯀꯄꯥ ꯑꯣꯛꯇꯣꯕꯔ ꯱꯵, ꯱꯹꯳꯱, ꯔꯥꯃꯦꯁ꯭ꯕꯔꯝ, ꯚꯥꯔꯠâ€”ꯖꯨꯂꯥꯏ ꯲꯷, ꯲꯰꯱꯵, ꯁꯤꯂꯆꯔ) ꯑꯁꯤ ꯚꯥꯔꯇꯀꯤ ꯃꯤꯁꯥꯏꯜ ꯑꯃꯁꯨꯡ ꯅ꯭ꯌꯨꯛꯂꯤꯌꯔ ꯈꯨꯠꯂꯥꯌꯁꯤꯡꯒꯤ ꯄ꯭ꯔꯣꯒ꯭ꯔꯥꯃꯁꯤꯡ ꯁꯦꯃꯒꯠꯄꯗꯥ ꯃꯀꯣꯛ ꯊꯣꯡꯕꯥ ꯊꯧꯗꯥꯡ ꯂꯧꯈꯤꯕꯥ ꯚꯥꯔꯇꯀꯤ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ ꯑꯃꯁꯨꯡ ꯔꯥꯖꯅꯤꯇꯤꯋꯥꯂꯥ ꯑꯃꯅꯤ꯫ ꯲꯰꯰꯲ꯗꯒꯤ ꯲꯰꯰꯷ ꯐꯥꯑꯣꯕꯥ ꯚꯥꯔꯇꯀꯤ ꯔꯥꯁ꯭ꯠꯔꯄꯇꯤ ꯑꯣꯏꯈꯤ꯫",Politics
ꯃꯣꯗꯤꯒꯤ ꯑꯍꯥꯅꯕꯥ ꯇꯥꯔꯃꯗꯥ ꯚꯥꯔꯇꯀꯤ ꯐꯥꯏꯅꯥꯟꯁ ꯃꯤꯅꯤꯁ꯭ꯇꯔ ꯀꯅꯥꯅꯣ?,ꯑꯔꯨꯟ ꯖꯦꯇꯂꯤ (꯲꯸ ꯗꯤꯁꯦꯝꯕꯔ ꯱꯹꯵꯲ â€“ ꯲꯴ ꯑꯣꯒꯁ꯭ꯠ ꯲꯰꯱꯹) ꯑꯁꯤ ꯚꯥꯔꯇꯀꯤ ꯔꯥꯖꯅꯤꯇꯤ ꯇꯧꯕꯥ ꯑꯃꯁꯨꯡ ꯑꯦꯇꯣꯔꯅꯤ ꯑꯃꯅꯤ꯫ ꯚꯥꯔꯇꯤꯌ ꯖꯅꯇꯥ ꯄꯥꯔꯇꯤꯒꯤ ꯃꯤꯍꯨꯠ ꯑꯃꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯖꯦꯇꯂꯤꯅꯥ ꯲꯰꯱꯴ꯗꯒꯤ ꯲꯰꯱꯹ ꯐꯥꯑꯣꯕꯥ ꯚꯥꯔꯠ ꯁꯔꯀꯥꯔꯒꯤ ꯐꯥꯏꯅꯥꯟꯁ ꯑꯃꯁꯨꯡ ꯀꯣꯔꯄꯣꯔꯦꯠ ꯑꯦꯐꯦꯌꯔꯁꯀꯤ ꯃꯟꯠꯔꯤ ꯑꯣꯏꯅꯥ ꯊꯕꯛ ꯇꯧꯈꯤ꯫,Politics
ꯅꯔꯦꯟꯗ꯭ꯔ ꯃꯣꯗꯤꯒꯤ ꯃꯍꯩ-ꯃꯁꯤꯡꯒꯤ ꯀ꯭ꯕꯥꯂꯤꯐꯤꯀꯦꯁꯅꯁꯤꯡ ꯀꯔꯤꯅꯣ ?,"꯱꯹꯷꯸ꯗꯥ ꯃꯣꯗꯤꯅꯥ ꯗꯤꯜꯂꯤ ꯌꯨꯅꯤꯚꯔꯁꯤꯇꯤꯒꯤ ꯁ꯭ꯀꯨꯜ ꯑꯣꯐ ꯑꯣꯄꯟ ꯂꯔꯅꯤꯡꯗꯒꯤ ꯄꯣꯂꯤꯇꯤꯀꯦꯜ ꯁꯥꯏꯟꯁꯇꯥ ꯕꯤ.ꯑꯦ. ꯆꯍꯤ ꯃꯉꯥꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯱꯹꯸꯳ꯗꯥ ꯃꯍꯥꯛꯅꯥ ꯒꯨꯖꯔꯥꯠ ꯌꯨꯅꯤꯕꯔꯁꯤꯇꯤꯗꯒꯤ ꯄꯣꯂꯤꯇꯤꯀꯦꯜ ꯁꯥꯏꯟꯁꯇꯥ ꯃꯥꯁ꯭ꯇꯔ ꯑꯣꯐ ꯑꯥꯔꯇꯁꯀꯤ ꯗꯤꯒ꯭ꯔꯤ ꯑꯃꯥ ꯐꯪꯈꯤ, ꯃꯄꯥꯅꯒꯤ ꯗꯤꯁ꯭ꯇꯦꯟꯁ ꯂꯔꯅꯤꯡꯒꯤ ꯃꯍꯩꯔꯣꯌ ꯑꯃꯥ ꯑꯣꯏꯅꯥ꯫",Politics
ꯑꯌꯣꯙ꯭ꯌꯥꯗꯥ ꯋꯥꯊꯣꯛ ꯂꯩꯔꯕꯥ ꯁ꯭ꯠꯔꯀꯆꯔ ꯑꯁꯤ ꯀꯗꯥꯌꯗꯥ ꯂꯧꯊꯣꯀꯈꯤꯕꯒꯦ? ꯔꯥꯖ꯭ꯌ ꯑꯁꯤ ꯀꯔꯝꯅꯥ ꯑꯣꯏꯈꯤꯕꯒꯦ꯫ ꯁꯔꯀꯥꯔꯅꯥ ꯆꯩꯔꯥꯛ ꯄꯤꯈꯤꯕꯔꯥ?,꯱꯹꯹꯲ꯒꯤ ꯗꯤꯁꯦꯝꯕꯔ ꯶ꯇꯥ ꯑꯌꯣꯙ꯭ꯌꯥ ꯍꯥꯌꯕꯗꯤ ꯕꯥꯕꯔꯤ ꯃꯁꯖꯤꯗꯀꯤ ꯋꯥꯊꯣꯛ ꯂꯩꯔꯕꯥ ꯁ꯭ꯠꯔꯀꯆꯔ ꯑꯗꯨ ꯂꯧꯊꯣꯀꯈꯤ꯫ ꯎꯠꯇꯔ ꯄ꯭ꯔꯗꯦꯁꯀꯤ ꯕꯤ.ꯖꯦ.ꯄꯤ.ꯒꯤ ꯁꯔꯀꯥꯔ ꯑꯁꯤ ꯊꯥꯗꯣꯀꯈꯤ ꯑꯃꯁꯨꯡ ꯎꯠꯇꯔ ꯄ꯭ꯔꯗꯦꯁꯀꯤ ꯃꯨꯈ꯭ꯌ ꯃꯟꯠꯔꯤꯒꯤ ꯃꯥꯌꯣꯛꯇꯥ ꯀꯣꯔꯠ ꯌꯥꯗꯕꯒꯤ ꯊꯧꯗꯣꯛꯇꯥ ꯁꯨꯞꯔꯤꯝ ꯀꯣꯔꯠꯇꯥ ꯀꯦꯁ ꯑꯃꯥ ꯔꯦꯖꯤꯁ꯭ꯇꯔ ꯇꯧꯈꯤ꯫,Politics
ꯁꯪꯕꯤꯙꯥꯅꯒꯤ ꯀꯔꯝꯕꯥ ꯑꯥꯔꯇꯤꯀꯜ ꯑꯃꯅꯥ ꯚꯥꯔꯇꯀꯤ ꯔꯥꯁ꯭ꯠꯔꯄꯇꯤ ꯈꯅꯕꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯋꯥꯔꯤ ꯁꯥꯔꯤꯕꯒꯦ?,"ꯚꯥꯔꯇꯀꯤ ꯁꯪꯕꯤꯙꯥꯅꯒꯤ ꯑꯥꯔꯇꯤꯀꯜ ꯵꯴ꯒꯤ ꯃꯇꯨꯡ ꯏꯟꯅꯥ ꯔꯥꯁ꯭ꯠꯔꯄꯇꯤ ꯑꯁꯤ ꯏꯂꯦꯛꯇꯣꯔꯦꯜ ꯀꯣꯂꯦꯖ ꯑꯃꯅꯥ ꯈꯅꯒꯠꯂꯤ, ꯃꯁꯤꯗꯥ ꯍꯥꯎꯁ ꯑꯣꯐ ꯄꯥꯔꯂꯤꯌꯥꯃꯦꯟꯇ ꯑꯅꯤꯃꯛꯀꯤ ꯃꯤꯈꯂꯗꯥ ꯃꯥꯌ ꯄꯥꯛꯂꯕꯥ ꯃꯦꯝꯕꯔꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯔꯥꯖ꯭ꯌ ꯄꯨꯝꯅꯃꯛꯀꯤ ꯂꯦꯖꯤꯁ꯭ꯂꯦꯇꯤꯕ ꯑꯦꯁꯦꯝꯕꯂꯤꯁꯤꯡꯒꯤ ꯃꯤꯈꯂꯗꯥ ꯃꯥꯌ ꯄꯥꯛꯂꯕꯥ ꯃꯦꯝꯕꯔꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯗꯤꯜꯂꯤꯒꯤ ꯑꯦꯟ.ꯁꯤ.ꯇꯤ ꯄꯨꯗꯨꯆꯦꯔꯤꯒꯤ ꯌꯨꯅꯤꯌꯟ ꯇꯦꯔꯤꯇꯣꯔꯤꯗꯥ ꯂꯩꯕꯥ ꯌꯨ.ꯑꯦꯁ.",Politics
ꯃꯍꯥꯔꯥꯁ꯭ꯠꯔꯗꯥ ꯂꯣꯛ ꯁꯚꯥꯒꯤ ꯃꯤꯍꯨꯠ ꯃꯁꯤꯡ ꯑꯁꯤ ꯀꯌꯥꯅꯣ ?,ꯂꯣꯛ ꯁꯚꯥꯒꯤ ꯁꯤꯠ ꯴꯸ ꯂꯩꯕꯥ ꯃꯍꯥꯔꯥꯁ꯭ꯠꯔꯅꯥ ꯁꯤꯠ ꯸꯰ ꯂꯩꯕꯥ ꯎꯠꯇꯔ ꯄ꯭ꯔꯗꯦꯁꯀꯤ ꯃꯇꯨꯡꯗꯥ ꯑꯅꯤꯁꯨꯕꯥ ꯈ꯭ꯕꯥꯏꯗꯒꯤ ꯋꯥꯡꯕꯥ ꯁꯤꯠ ꯂꯩꯔꯤ꯫,Politics
ꯁꯪꯕꯤꯙꯥꯅꯒꯤ ꯗ꯭ꯔꯥꯐꯇꯤꯡ ꯀꯝꯃꯤꯇꯤꯒꯤ ꯃꯃꯥꯡꯗꯥ ꯀꯅꯥꯅꯥ ꯄ꯭ꯔꯤꯃꯕ꯭ꯂꯤꯛ ꯄ꯭ꯔꯄꯣꯖ ꯇꯧꯈꯤ꯫,"ꯄ꯭ꯔꯤꯝꯕꯤꯕꯜ ꯑꯁꯤ ꯅꯦꯍꯔꯨꯒꯤ â€œꯑꯣꯕꯖꯦꯛꯇꯤꯕ ꯔꯤꯖꯣꯂꯨꯁꯟâ€ ,ꯗꯥ ꯌꯨꯝꯐꯝ ꯑꯣꯏꯕꯅꯤ꯫ ꯖꯋꯥꯍꯔꯂꯥꯜ ꯅꯦꯍꯔꯨꯅꯥ ꯑꯣꯕꯖꯦꯛꯇꯤꯕ ꯔꯤꯖꯣꯂꯨꯁꯟ ꯑꯃꯥ ꯄ꯭ꯔꯄꯣꯖ ꯇꯧꯈꯤ ꯑꯃꯁꯨꯡ ꯃꯗꯨꯗꯥ ꯗꯣꯛꯇꯔ ꯕꯤ.ꯑꯥꯔ.",Politics
