Question, Answer,Domain
 1920 मध्ये असहकार चळवळ सुरू झाली तेव्हा कोणाचा मृत्यू झाला?," 1 ऑगस्ट 1920 रोजी असहकार आंदोलनाची घोषणा झाली, त्याच दिवशी पहाटे बाळ गंगाधर टिळकांच्या निधनाची बातमी आली.",Politics
 कोणता भारतीय कार्यकर्ता 'लोकहितवादी' या नावाने प्रसिद्ध होता?," राव बहादूर गोपाळ हरी देशमुख () हे लोकहितवादी (१८ फेब्रुवारी १८२३ - ९ ऑक्टोबर १८९२) हे महाराष्ट्रातील एक भारतीय कार्यकर्ते, विचारवंत, समाजसुधारक आणि लेखक होते.",Politics
 भारताचे पहिले राष्ट्रपती आणि अमेरिकेचे पहिले राष्ट्रपती कोण होते?," राजेंद्र प्रसाद हे एक भारतीय राजकारणी, वकील, पत्रकार आणि विद्वान होते ज्यांनी 1950 ते 1962 पर्यंत भारताचे पहिले राष्ट्रपती म्हणून काम केले. जॉर्ज वॉशिंग्टन (22 फेब्रुवारी 1732 - 14 डिसेंबर 1799) हे अमेरिकन संस्थापक, लष्करी अधिकारी आणि राजकारणी होते. 1789 ते 1797 पर्यंत युनायटेड स्टेट्सचे पहिले अध्यक्ष म्हणून काम केले.",Politics
अब्दुल कलाम कोण होते? थोडक्यात वर्णन करा.," APJ अब्दुल कलाम (जन्म: 15 ऑक्टोबर 1931, रामेश्वरम, भारत—मृत्यू 27 जुलै 2015, शिलाँग) हे एक भारतीय वैज्ञानिक आणि राजकारणी होते ज्यांनी भारताच्या क्षेपणास्त्र आणि अण्वस्त्र कार्यक्रमांच्या विकासात प्रमुख भूमिका बजावली होती. 2002 ते 2007 पर्यंत ते भारताचे राष्ट्रपती होते.",Politics
 मोदींच्या पहिल्या कार्यकाळात भारताचे अर्थमंत्री कोण होते?," अरुण जेटली (28 डिसेंबर 1952 - 24 ऑगस्ट 2019) हे भारतीय राजकारणी आणि वकील होते. भारतीय जनता पक्षाचे सदस्य, जेटली यांनी 2014 ते 2019 पर्यंत भारत सरकारचे वित्त आणि कॉर्पोरेट व्यवहार मंत्री म्हणून काम केले.",Politics
 नरेंद्र मोदींची शैक्षणिक पात्रता काय आहे?,"1978 मध्ये, मोदींनी दिल्ली विद्यापीठाच्या स्कूल ऑफ ओपन लर्निंगमधून राज्यशास्त्रात बीए पदवी प्राप्त केली, तृतीय श्रेणीसह पदवी प्राप्त केली. पाच वर्षांनंतर, 1983 मध्ये, त्यांनी बाह्य दूरस्थ शिक्षण विद्यार्थी म्हणून गुजरात विद्यापीठातून राज्यशास्त्रात मास्टर ऑफ आर्ट्स पदवी प्राप्त केली.",Politics
 अयोध्येतील वादग्रस्त वास्तू कधी पाडण्यात आली? राज्य कसे होते. सरकारने शिक्षा केली?, ६ डिसेंबर १९९२ रोजी अयोध्येतील वादग्रस्त वास्तू म्हणजेच बाबरी मशीद पाडण्यात आली. उत्तर प्रदेशचे भाजप सरकार बरखास्त करण्यात आले आणि उत्तर प्रदेशच्या मुख्यमंत्र्यांवर सर्वोच्च न्यायालयात न्यायालयाचा अवमान केल्याप्रकरणी गुन्हा दाखल करण्यात आला.,Politics
 राज्यघटनेचे कोणते कलम भारताच्या राष्ट्रपतींच्या निवडीशी संबंधित आहे?,"भारतीय राज्यघटनेच्या कलम ५४ नुसार, राष्ट्रपतींची निवड इलेक्टोरल कॉलेजद्वारे केली जाते, ज्यामध्ये संसदेच्या दोन्ही सभागृहांचे निवडून आलेले सदस्य आणि सर्व राज्यांच्या विधानसभांचे निवडून आलेले सदस्य आणि दिल्लीच्या NCT आणि पुद्दुचेरी केंद्रशासित प्रदेश.",Politics
 महाराष्ट्रात लोकसभेच्या जागांची संख्या किती आहे?," लोकसभेच्या 48 जागांसह, 80 जागा असलेल्या उत्तर प्रदेशानंतर महाराष्ट्र दुसऱ्या क्रमांकावर आहे.",Politics
 संविधानाच्या मसुदा समितीसमोर प्रस्तावना कोणी मांडली," प्रस्तावना नेहरूंच्या ""वस्तुनिष्ठ ठराव"" वर आधारित आहे. जवाहरलाल नेहरूंनी एक वस्तुनिष्ठ ठराव मांडला आणि तेव्हाच डॉ बीआर आंबेडकरांनी संविधानाचा मजकूर आणि प्रस्तावना तयार केली.",Politics
