Question,Answer,Domain
1920 मा असहयोग आन्दोलनको सुरुवात संगै कसको मृत्यु भयो?,"१ अगस्ट १९२० मा असहयोग आन्दोलनको घोषणा भयो, सोही दिन बिहानै बाल गंगाधर तिलकको मृत्युको खबर आयो ।",Politics
कुन भारतीय कार्यकर्ता 'लोकहितवादी' भनेर चिनिन्थ्यो?,"रावबहादुर गोपाल हरि देशमुख () जसलाई लोकहितवादी पनि भनिन्छ (१८ फेब्रुअरी १८२३ – ९ अक्टोबर १८९२) महाराष्ट्रका एक भारतीय कार्यकर्ता, विचारक, समाज सुधारक र लेखक थिए।",Politics
भारत के प्रथम राष्ट्रपति र संयुक्त राज्य अमेरिका को प्रथम राष्ट्रपति को थिए?,"राजेन्द्र प्रसाद एक भारतीय राजनीतिज्ञ, वकिल, पत्रकार र विद्वान थिए जसले 1950 देखि 1962 सम्म भारतको पहिलो राष्ट्रपतिको रूपमा सेवा गरे। जर्ज वाशिंगटन (फेब्रुअरी 22, 1732 - 14 डिसेम्बर, 1799) एक अमेरिकी संस्थापक पिता, सैन्य अधिकारी, र राजनीतिज्ञ थिए। 1789 देखि 1797 सम्म संयुक्त राज्य अमेरिका को पहिलो राष्ट्रपति को रूप मा सेवा।",Politics
अब्दुल कलाम को थिए ? संक्षिप्त वर्णन गर्नुहोस्।,"एपीजे अब्दुल कलाम (जन्म अक्टोबर 15, 1931, रामेश्वरम, भारत - मृत्यु जुलाई 27, 2015, शिलङ) एक भारतीय वैज्ञानिक र राजनीतिज्ञ थिए जसले भारतको मिसाइल र आणविक हतियार कार्यक्रमको विकासमा अग्रणी भूमिका खेलेका थिए। उनी सन् २००२ देखि २००७ सम्म भारतको राष्ट्रपति थिए।",Politics
मोदीको पहिलो कार्यकालमा भारतको अर्थमन्त्री को थिए ?,"अरुण जेटली (२८ डिसेम्बर १९५२ - २४ अगस्ट २०१९) एक भारतीय राजनीतिज्ञ र वकिल थिए। भारतीय जनता पार्टीका सदस्य, जेटलीले 2014 देखि 2019 सम्म भारत सरकारको वित्त र कर्पोरेट मामिला मन्त्रीको रूपमा सेवा गरे।",Politics
नरेन्द्र मोदीको शैक्षिक योग्यता के छ ?,"1978 मा, मोदीले दिल्ली विश्वविद्यालयको स्कूल अफ ओपन लर्निङबाट राजनीति विज्ञानमा बीए डिग्री प्राप्त गरे, तेस्रो कक्षामा स्नातक। पाँच वर्ष पछि, 1983 मा, उनले गुजरात विश्वविद्यालयबाट राजनीति विज्ञानमा स्नातकोत्तर डिग्री प्राप्त गरे, बाह्य दूर शिक्षा विद्यार्थीको रूपमा।",Politics
अयोध्याको विवादित संरचना कहिले भत्कियो ? राज्य कस्तो थियो । सरकारले कारवाही गरेको हो ?,६ डिसेम्बर १९९२ मा अयोध्याको विवादित संरचना अर्थात् बाबरी मस्जिद भत्काइयो। उत्तर प्रदेशको भाजपा सरकार बर्खास्त गरियो र उत्तर प्रदेशका मुख्यमन्त्री विरुद्ध सर्वोच्च अदालतमा अदालतको अवहेलनाको मुद्दा दर्ता गरियो।,Politics
संविधानको कुन धाराले भारतको राष्ट्रपतिको निर्वाचनसँग सम्बन्धित छ?,"भारतको संविधानको धारा ५४ अनुसार राष्ट्रपति निर्वाचक मण्डलद्वारा निर्वाचित हुन्छ, जसमा संसदका दुवै सदनका निर्वाचित सदस्यहरू र सबै राज्यका विधान सभाका निर्वाचित सदस्यहरू र दिल्लीको एनसीटी र एनसीटी पनि हुन्छन्। केन्द्र शासित प्रदेश पुडुचेरी।",Politics
महाराष्ट्र मा लोकसभा सीट संख्या कति छ?,"48 लोकसभा सीटहरूको साथ, महाराष्ट्र उत्तर प्रदेश पछि दोस्रो-सबैभन्दा बढी सीटहरू भएको छ, जसमा 80 सीटहरू छन्।",Politics
संविधानको मस्यौदा समितिमा प्रस्तावना कसले पेश गरेका थिए,"प्रस्तावना नेहरू को ""उद्देश्य संकल्प"" मा आधारित छ। जवाहरलाल नेहरूले एक वस्तुनिष्ठ संकल्प प्रस्ताव गरे र त्यो हो जब डा बीआर अम्बेडकरले संविधानको पाठ र प्रस्तावना डिजाइन गरे।",Politics
