Question,Answer,Domain
1920 ରେ ଅଣ-ସହଯୋଗ ଆନ୍ଦୋଳନର ଶୁଭାରମ୍ଭ ସହିତ କାହାର ମୃତ୍ୟୁ ସମକକ୍ଷ ହୋଇଥିଲା?,"1 ଅଗଷ୍ଟ 1920 ରେ, ଅଣ-ସହଯୋଗ ଆନ୍ଦୋଳନ ଘୋଷଣା କରାଯାଇଥିଲା, ସେହି ଦିନ ସକାଳେ ବାଲ ଗଙ୍ଗାଧର ତିଲକଙ୍କ ମୃତ୍ୟୁ ଖବର ଆସିଥିଲା।",Politics
କେଉଁ ଭାରତୀୟ କାର୍ଯ୍ୟକର୍ତ୍ତା 'ଲୋହିତୱାଡି' ଭାବରେ ଜଣାଶୁଣା?,"ରାଓ ବାହାଦୂର ଗୋପାଳ ହରି ଦେଶମୁଖ ମଧ୍ୟ ଲୋହିତୱାଡି ନାମରେ ଜଣାଶୁଣା (18 ଫେବୃଆରୀ 1823 - 9 ଅକ୍ଟୋବର 1892) ମହାରାଷ୍ଟ୍ରର ଜଣେ ଭାରତୀୟ କାର୍ଯ୍ୟକର୍ତ୍ତା, ଚିନ୍ତକ, ସାମାଜିକ ସଂସ୍କାରକ ତଥା ଲେଖକ ଥିଲେ।",Politics
ଭାରତର ପ୍ରଥମ ରାଷ୍ଟ୍ରପତି ଏବଂ ଆମେରିକାର ପ୍ରଥମ ରାଷ୍ଟ୍ରପତି କିଏ?,"ରାଜେନ୍ଦ୍ର ପ୍ରସାଦ ଜଣେ ଭାରତୀୟ ରାଜନେତା, ଓକିଲ, ସାମ୍ବାଦିକ ତଥା ପଣ୍ଡିତ ଯିଏ 1950 ରୁ 1962 ପର୍ଯ୍ୟନ୍ତ ଭାରତର ପ୍ରଥମ ରାଷ୍ଟ୍ରପତି ଭାବରେ କାର୍ଯ୍ୟ କରିଥିଲେ। ଜର୍ଜ ୱାଶିଂଟନ୍ (ଫେବୃଆରୀ 22, 1732 - ଡିସେମ୍ବର 14, 1799) ଜଣେ ଆମେରିକୀୟ ପ୍ରତିଷ୍ଠାତା ପିତା, ସ military ନିକ ଏବଂ ରାଜନେତା ଯିଏ ଥିଲେ 1789 ରୁ 1797 ପର୍ଯ୍ୟନ୍ତ ଯୁକ୍ତରାଷ୍ଟ୍ରର ପ୍ରଥମ ରାଷ୍ଟ୍ରପତି ଭାବରେ କାର୍ଯ୍ୟ କରିଥିଲେ।",Politics
ଅବଦୁଲ କଲାମ କିଏ? ସଂକ୍ଷେପରେ ବର୍ଣ୍ଣନା କର |,"ଏପିଜେ ଅବଦୁଲ କଲାମ (ଜନ୍ମ ଅକ୍ଟୋବର 15, 1931, ରମେଶ୍ୱରମ୍, ଭାରତ - ଜୁଲାଇ 27, 2015, ଶିଲୋଙ୍ଗ) ଜଣେ ଭାରତୀୟ ବ scientist ଜ୍ଞାନିକ ତଥା ରାଜନେତା ଯିଏ ଭାରତର କ୍ଷେପଣାସ୍ତ୍ର ଏବଂ ଆଣବିକ ଅସ୍ତ୍ର କାର୍ଯ୍ୟକ୍ରମ ବିକାଶରେ ପ୍ରମୁଖ ଭୂମିକା ଗ୍ରହଣ କରିଥିଲେ। ସେ 2002 ରୁ 2007 ପର୍ଯ୍ୟନ୍ତ ଭାରତର ରାଷ୍ଟ୍ରପତି ଥିଲେ।",Politics
ମୋଦୀଙ୍କ ପ୍ରଥମ କାର୍ଯ୍ୟକାଳ ମଧ୍ୟରେ ଭାରତର ଅର୍ଥମନ୍ତ୍ରୀ କିଏ ଥିଲେ?,ଅରୁଣ ଜେଟଲୀ (28 ଡିସେମ୍ବର 1952 - 24 ଅଗଷ୍ଟ 2019) ଜଣେ ଭାରତୀୟ ରାଜନେତା ଏବଂ ଓକିଲ ଥିଲେ। ଭାରତୀୟ ଜନତା ପାର୍ଟିର ଜଣେ ସଦସ୍ୟ ଜେଟଲୀ 2014 ରୁ 2019 ପର୍ଯ୍ୟନ୍ତ ଭାରତ ସରକାରଙ୍କ ଅର୍ଥ ଏବଂ କର୍ପୋରେଟ ବ୍ୟାପାର ମନ୍ତ୍ରୀ ଭାବରେ କାର୍ଯ୍ୟ କରିଥିଲେ।,Politics
ନରେନ୍ଦ୍ର ମୋଦୀଙ୍କ ଶିକ୍ଷାଗତ ଯୋଗ୍ୟତା କ’ଣ?,"1978 ମସିହାରେ ମୋଦୀ ଦିଲ୍ଲୀ ବିଶ୍ୱବିଦ୍ୟାଳୟର ସ୍କୁଲ ଅଫ୍ ଓପନ୍ ଲର୍ନିଂରୁ ରାଜନୀତି ବିଜ୍ଞାନରେ ବିଏ ଡିଗ୍ରୀ ହାସଲ କରି ତୃତୀୟ ଶ୍ରେଣୀରେ ସ୍ନାତକ ହାସଲ କରିଥିଲେ। ପାଞ୍ଚ ବର୍ଷ ପରେ, 1983 ମସିହାରେ, ସେ ଗୁଜୁରାଟ ବିଶ୍ୱବିଦ୍ୟାଳୟରୁ ବାହ୍ୟ ଦୂରତା ଶିକ୍ଷା ଛାତ୍ର ଭାବରେ ରାଜନୀତି ବିଜ୍ଞାନରେ ମାଷ୍ଟର ଅଫ୍ ଆର୍ଟ ଡିଗ୍ରୀ ହାସଲ କରିଥିଲେ।",Politics
ଅଯୋଧ୍ୟାରେ ବିବାଦୀୟ structure ାଞ୍ଚା କେବେ ଭାଙ୍ଗିଗଲା? ରାଜ୍ୟ କିପରି ଥିଲା | ସରକାର ଦଣ୍ଡିତ?,"6 ଡିସେମ୍ବର, 1992 ରେ ଅଯୋଧ୍ୟା ଅର୍ଥାତ୍ ବାବ୍ରି ମସଜିଦ୍ ର ବିବାଦୀୟ structure ାଞ୍ଚା ଭାଙ୍ଗି ଦିଆଗଲା | ଉତ୍ତରପ୍ରଦେଶର ବିଜେପି ସରକାର ଖାରଜ ହୋଇଯାଇଥିଲେ ଏବଂ କୋର୍ଟ ଅବମାନନା ପାଇଁ ସୁପ୍ରିମକୋର୍ଟରେ ଉତ୍ତରପ୍ରଦେଶର ମୁଖ୍ୟମନ୍ତ୍ରୀଙ୍କ ବିରୋଧରେ ମାମଲା ରୁଜୁ ହୋଇଥିଲା।",Politics
ସମ୍ବିଧାନର କେଉଁ ଧାରା ଭାରତର ରାଷ୍ଟ୍ରପତି ନିର୍ବାଚନ ସହିତ ଜଡିତ?,"ଭାରତର ସମ୍ବିଧାନର ଧାରା 54 ଅନୁଯାୟୀ, ରାଷ୍ଟ୍ରପତି ଏକ ଇଲେକ୍ଟୋରାଲ କଲେଜ ଦ୍ୱାରା ନିର୍ବାଚିତ ହୁଅନ୍ତି, ଯେଉଁଥିରେ ଉଭୟ ସଂସଦର ନିର୍ବାଚିତ ସଦସ୍ୟ ଏବଂ ସମସ୍ତ ରାଜ୍ୟର ବିଧାନସଭା ସଭାର ନିର୍ବାଚିତ ସଦସ୍ୟ ଏବଂ ଦିଲ୍ଲୀର NCT ଏବଂ ପୁଡୁଚେରୀର ୟୁନିଅନ୍ ଟେରିଟୋରୀ |",Politics
ମହାରାଷ୍ଟ୍ରରେ ଲୋକସଭା ଆସନ ସଂଖ୍ୟା କେତେ?,48 ଟି ଲୋକସଭା ଆସନ ସହିତ ମହାରାଷ୍ଟ୍ର 80 ଟି ସିଟ୍ ବିଶିଷ୍ଟ ଉତ୍ତରପ୍ରଦେଶ ପରେ ଦ୍ୱିତୀୟ ସ୍ଥାନରେ ରହିଛି।,Politics
ସମ୍ବିଧାନର ଡ୍ରାଫ୍ଟ କମିଟି ଆଗରେ କିଏ ପ୍ରିମ୍ବଲ୍ ପ୍ରସ୍ତାବ ଦେଇଥିଲେ |,ପ୍ରିମ୍ବଲ୍ ନେହେରୁର “ଅବଜେକ୍ଟିଭ୍ ରିଜୋଲ୍ୟୁସନ୍” ଉପରେ ଆଧାରିତ | ଜବାହରଲାଲ ନେହେରୁ ଏକ ଅବଜେକ୍ଟିଭ୍ ରିଜୋଲ୍ୟୁସନ୍ ପ୍ରସ୍ତାବ ଦେଇଥିଲେ ଏବଂ ସେତେବେଳେ ଡ Dr ବିଆର ଆମ୍ବେଦକର ସମ୍ବିଧାନର ପାଠ୍ୟର ପରିକଳ୍ପନା କରିଥିଲେ।,Politics
1973 ରେ କିଏ ଭାରତର ପ୍ରଧାନ ବିଚାରପତି ଭାବରେ ନିଯୁକ୍ତ ହୋଇଥିଲେ? ଏହି ନିଯୁକ୍ତି କାହିଁକି ବିବାଦୀୟ ହେଲା?,"1973 ମସିହାରେ, ସରକାର ତିନିଜଣ ବିଚାରପତିଙ୍କ ବରିଷ୍ଠତାକୁ ଅଲଗା କରି ଜଷ୍ଟିସ୍ ଏନ୍ ରାୟଙ୍କୁ ଭାରତର ପ୍ରଧାନ ବିଚାରପତି ଭାବରେ ନିଯୁକ୍ତ କରିଥିଲେ। ଏହି ନିଯୁକ୍ତି ରାଜନ political ତିକ ବିବାଦୀୟ ହୋଇପଡିଥିଲା କାରଣ ଏହି ତିନିଜଣ ବିଚାରପତିଙ୍କୁ ସରକାରଙ୍କ ଷ୍ଟାଣ୍ଡ ବିରୋଧରେ ନିଷ୍ପତ୍ତି ନିଆଯାଇଥିଲା।",Politics
ମାର୍ଚ୍ଚ 1977 ର ସାଧାରଣ ନିର୍ବାଚନରେ ଜନତା ପାର୍ଟି ଏବଂ ଏହାର ସହଯୋଗୀମାନେ କେତେ ଲୋକସଭା ଆସନ ଜିତିଥିଲେ?,ଜନତା ପାର୍ଟି ଏବଂ ଏହାର ସହଯୋଗୀମାନେ ଲୋକସଭାରେ 542 ଟି ଆସନ ମଧ୍ୟରୁ 330 ଜିତିଥିଲେ; ଜନତା ପାର୍ଟି ନିଜେ 295 ଟି ସିଟ୍ ଜିତିଥିଲା ଏବଂ ଏହିପରି ଏକ ସଂଖ୍ୟାଗରିଷ୍ଠତା ହାସଲ କରିଥିଲା |,Politics
2024 ସୁଦ୍ଧା ମହାରାଷ୍ଟ୍ରର ମୁଖ୍ୟମନ୍ତ୍ରୀ କିଏ?,ଏକନାଥ ସମ୍ୱାଜୀ ସିନ୍ଦେ ଜଣେ ଭାରତୀୟ ରାଜନେତା ଯିଏକି 30 ଜୁନ୍ 2022 ପରଠାରୁ ମହାରାଷ୍ଟ୍ରର 20 ତମ ତଥା ବର୍ତ୍ତମାନର ମୁଖ୍ୟମନ୍ତ୍ରୀ ଭାବରେ କାର୍ଯ୍ୟ କରୁଛନ୍ତି। ସେ ଫେବୃଆରୀ 2023 ଠାରୁ ଶିବସେନାର ନେତା ତଥା ମହାରାଷ୍ଟ୍ର ବିଧାନସଭା ଗୃହର ନେତା ଭାବରେ ମଧ୍ୟ କାର୍ଯ୍ୟ କରୁଛନ୍ତି। ।,Politics
କେଉଁ ହାଇକୋର୍ଟ 12 ଜୁନ୍ 1975 ରେ ପ୍ରଧାନମନ୍ତ୍ରୀ ଇନ୍ଦିରା ଗାନ୍ଧୀଙ୍କ ବିରୋଧରେ ଏହି ରାୟ ଦେଇଥିଲେ ଏବଂ ସେ ଲୋକସଭା 1971 ର ସଦସ୍ୟତା ହରାଇଥିଲେ।,"ଉତ୍ତରପ୍ରଦେଶ ରାଜ୍ୟ ବନାମ ରାଜ ନାରାୟଣ (1975 AIR 865, 1975 SCR (3) 333) 1975 ମସିହାରେ ଆହ୍ଲାବାଦ ହାଇକୋର୍ଟଙ୍କ ଦ୍ heard ାରା ଶୁଣାଣି ହୋଇଥିଲା ଯେଉଁଥିରେ ଭାରତର ପ୍ରଧାନମନ୍ତ୍ରୀ ଇନ୍ଦିରା ଗାନ୍ଧୀଙ୍କୁ ନିର୍ବାଚନରେ ଅସଦାଚରଣ କରାଯାଇଥିଲା।",Politics
ଭାରତରେ ରାଜକୁମାରୀ ରାଜ୍ୟଗୁଡ଼ିକର ଏକୀକରଣରେ ସର୍ଦ୍ଦାର ପଟେଲଙ୍କ ଭୂମିକାକୁ ବ୍ୟାଖ୍ୟା କର |,"ସ୍ୱାଧୀନତା ପରେ ତୁରନ୍ତ ସର୍ଦ୍ଦାର ପଟେଲ ଭାରତର ଡେପୁଟି ପ୍ରଧାନମନ୍ତ୍ରୀ ଏବଂ ଗୃହମନ୍ତ୍ରୀ ଥିଲେ। ସେ ରାଜକୁମାର ରାଜ୍ୟଗୁଡିକର ଶାସକମାନଙ୍କ ସହିତ କଥାବାର୍ତ୍ତା କିନ୍ତୁ କୂଟନ omatically ତିକ ସ୍ତରରେ ଏବଂ ସେମାନଙ୍କ ମଧ୍ୟରୁ ଅଧିକାଂଶଙ୍କୁ ଭାରତୀୟ ୟୁନିଅନରେ ଆଣିବାରେ ଏକ ic ତିହାସିକ ଭୂମିକା ଗ୍ରହଣ କରିଥିଲେ | ଭାରତରେ ରାଜକୁମାର ରାଜ୍ୟଗୁଡ଼ିକର ଏକୀକରଣରେ ସର୍ଦ୍ଦାର ପଟେଲ ନିମ୍ନଲିଖିତ ଭୂମିକା ଗ୍ରହଣ କରିଥିଲେ: ସେ କୂଟନ acy ତିକ ଏବଂ ବୁ through ାମଣା ମାଧ୍ୟମରେ ରାଜକୁମାର ରାଜ୍ୟମାନଙ୍କଠାରୁ ଏକ ଚିଠି ପାଇଥିଲେ। ସେ ମିଶ୍ରଣ ପାଇଁ ହାଇଦ୍ରାବାଦ, ଜୁନାଗଡ, ମଣିପୁର ଏବଂ କାଶ୍ମୀର ରାଜ୍ୟ ସହ ବଳ ଏବଂ ପ୍ରବର୍ତ୍ତନ ବ୍ୟବହାର କରିଥିଲେ।",Politics
1952 ର ପ୍ରଥମ ସାଧାରଣ ନିର୍ବାଚନରେ କଂଗ୍ରେସ ପାର୍ଟି ଏବଂ ଭାରତୀୟ ଜନ ସଂଗଠନର ନିର୍ବାଚନ ପ୍ରତୀକଗୁଡ଼ିକ କ’ଣ ଥିଲା?,1952 ର ପ୍ରଥମ ସାଧାରଣ ନିର୍ବାଚନରେ କଂଗ୍ରେସ ଦଳର ପ୍ରତୀକ ଥିଲା ଷଣ୍ and ଏବଂ ଦୀପ (ଦୀପକ) ଭାରତ ଜନ ସଂଗର ପ୍ରତୀକ |,Politics
ଶିବସେନାର ମୁଖ୍ୟାଳୟ କେଉଁଠାରେ ଅଛି?,"ଶିବସେନାଙ୍କ ମୁଖ୍ୟାଳୟ ଏବଂ ମୁଖ୍ୟ କାର୍ଯ୍ୟାଳୟ ଥାନାର ଆନନ୍ଦ ଡିଜିଙ୍କ ଘରେ ଅବସ୍ଥିତ | ଡିଜି ଗୁରୁ ଏବଂ ଶିବସେନା ମୁଖୀ ନେଟା (ମୁଖ୍ୟ ନେତା) ଏକନାଥ ସିନ୍ଦେଙ୍କର ପରାମର୍ଶଦାତା ଥିଲେ। 24 ଫେବୃଆରୀ 2023 ରେ, ଶିନ୍ଦେ ଉଦଡକ ଠାକରେଙ୍କଠାରୁ ଦଳ ଗ୍ରହଣ କରିବା ପରେ ମୁଖ୍ୟାଳୟ ଶିବସେନା ଭବନରୁ ସ୍ଥାନାନ୍ତରିତ ହୋଇଥିଲା;",Politics
ନିଜସ୍ୱ ସରକାରୀ ପତାକା ଥିବା ଏକମାତ୍ର ଭାରତୀୟ ରାଜ୍ୟ କେଉଁଟି ଥିଲା?,"ଜାମ୍ମୁ କାଶ୍ମୀରର ରାଜ୍ୟ ପତାକା 1952 ରୁ 2019 ମଧ୍ୟରେ ପୂର୍ବ ଭାରତୀୟ ଜାମ୍ମୁ କାଶ୍ମୀରରେ ବ୍ୟବହୃତ ଏକ ପ୍ରତୀକ ଥିଲା, ଯାହାକି ଭାରତର ସମ୍ବିଧାନର ଧାରା 370 ଅନୁଯାୟୀ ଏହି ଅଞ୍ଚଳକୁ ଦିଆଯାଇଥିବା ସ୍ status ତନ୍ତ୍ର ମାନ୍ୟତା ଅନୁଯାୟୀ। ଏହା ଏକ ଲାଲ୍-ଧଳା ପତାକା ଥିଲା ଯେଉଁଥିରେ ଏକ ହଳ ଏବଂ ରାଜ୍ୟର ତିନୋଟି ଉପାଦାନର ପ୍ରତିନିଧିତ୍ୱ ଥିଲା | ଅଗଷ୍ଟ 2019 ରେ ଧାରା 370 ରଦ୍ଦ ହେବା ପରେ, ଏହି ପତାକା ଏହାର ସରକାରୀ ମାନ୍ୟତା ହରାଇଲା |",Politics
ପଞ୍ଜାବରେ ପ୍ରାଧାନ୍ୟ ବିସ୍ତାର କରୁଥିବା ତିନୋଟି ରାଜନ political ତିକ ଦଳ ତାଲିକାଭୁକ୍ତ କର?,"ବର୍ତ୍ତମାନର ପଞ୍ଜାବରେ ପୁନ organ ସଂଗଠିତ ରାଜନୀତିରେ ମୁଖ୍ୟତ three ତିନୋଟି ଦଳ - ଭାରତୀୟ ଜାତୀୟ କଂଗ୍ରେସ, ଆମ୍ ଆଦମୀ ପାର୍ଟି ଏବଂ ଶିରୋମାନି ଅକାଳୀ ଦଳ (ବାଦଲ) ପ୍ରାଧାନ୍ୟ ବିସ୍ତାର କରିଛନ୍ତି।",Politics
