Question,Answer,Domain
1920 ਵਿਚ ਨਾ-ਮਿਲਵਰਤਣ ਅੰਦੋਲਨ ਦੀ ਸ਼ੁਰੂਆਤ ਨਾਲ ਕਿਸ ਦੀ ਮੌਤ ਹੋਈ?,"1 ਅਗਸਤ 1920 ਨੂੰ ਅਸਹਿਯੋਗ ਅੰਦੋਲਨ ਦਾ ਐਲਾਨ ਕੀਤਾ ਗਿਆ, ਉਸੇ ਦਿਨ ਤੜਕੇ ਬਾਲ ਗੰਗਾਧਰ ਤਿਲਕ ਦੀ ਮੌਤ ਦੀ ਖ਼ਬਰ ਆਈ।",Politics
ਕਿਸ ਭਾਰਤੀ ਕਾਰਕੁਨ ਨੂੰ 'ਲੋਕਹਿੱਤਵਾਦੀ' ਵਜੋਂ ਜਾਣਿਆ ਜਾਂਦਾ ਸੀ?,"ਰਾਓ ਬਹਾਦੁਰ ਗੋਪਾਲ ਹਰੀ ਦੇਸ਼ਮੁਖ ਜਿਸਨੂੰ ਲੋਕਹਿਤਵਾਦੀ (18 ਫਰਵਰੀ 1823 – 9 ਅਕਤੂਬਰ 1892) ਵਜੋਂ ਵੀ ਜਾਣਿਆ ਜਾਂਦਾ ਹੈ, ਮਹਾਰਾਸ਼ਟਰ ਦਾ ਇੱਕ ਭਾਰਤੀ ਕਾਰਕੁਨ, ਚਿੰਤਕ, ਸਮਾਜ ਸੁਧਾਰਕ ਅਤੇ ਲੇਖਕ ਸੀ।",Politics
ਭਾਰਤ ਦੇ ਪਹਿਲੇ ਰਾਸ਼ਟਰਪਤੀ ਅਤੇ ਅਮਰੀਕਾ ਦੇ ਪਹਿਲੇ ਰਾਸ਼ਟਰਪਤੀ ਕੌਣ ਸਨ?,"ਰਾਜੇਂਦਰ ਪ੍ਰਸਾਦ ਇੱਕ ਭਾਰਤੀ ਸਿਆਸਤਦਾਨ, ਵਕੀਲ, ਪੱਤਰਕਾਰ ਅਤੇ ਵਿਦਵਾਨ ਸਨ ਜਿਨ੍ਹਾਂ ਨੇ 1950 ਤੋਂ 1962 ਤੱਕ ਭਾਰਤ ਦੇ ਪਹਿਲੇ ਰਾਸ਼ਟਰਪਤੀ ਵਜੋਂ ਸੇਵਾ ਨਿਭਾਈ। ਜਾਰਜ ਵਾਸ਼ਿੰਗਟਨ (22 ਫਰਵਰੀ, 1732 – 14 ਦਸੰਬਰ, 1799) ਇੱਕ ਅਮਰੀਕੀ ਸੰਸਥਾਪਕ, ਫੌਜੀ ਅਧਿਕਾਰੀ, ਅਤੇ ਸਿਆਸਤਦਾਨ ਸਨ। 1789 ਤੋਂ 1797 ਤੱਕ ਸੰਯੁਕਤ ਰਾਜ ਦੇ ਪਹਿਲੇ ਰਾਸ਼ਟਰਪਤੀ ਵਜੋਂ ਸੇਵਾ ਕੀਤੀ।",Politics
ਅਬਦੁਲ ਕਲਾਮ ਕੌਣ ਸੀ? ਸੰਖੇਪ ਵਿੱਚ ਵਰਣਨ ਕਰੋ.,"ਏਪੀਜੇ ਅਬਦੁਲ ਕਲਾਮ (ਜਨਮ 15 ਅਕਤੂਬਰ, 1931, ਰਾਮੇਸ਼ਵਰਮ, ਭਾਰਤ—ਮੌਤ 27 ਜੁਲਾਈ, 2015, ਸ਼ਿਲਾਂਗ) ਇੱਕ ਭਾਰਤੀ ਵਿਗਿਆਨੀ ਅਤੇ ਸਿਆਸਤਦਾਨ ਸੀ ਜਿਸਨੇ ਭਾਰਤ ਦੇ ਮਿਜ਼ਾਈਲ ਅਤੇ ਪ੍ਰਮਾਣੂ ਹਥਿਆਰਾਂ ਦੇ ਪ੍ਰੋਗਰਾਮਾਂ ਦੇ ਵਿਕਾਸ ਵਿੱਚ ਪ੍ਰਮੁੱਖ ਭੂਮਿਕਾ ਨਿਭਾਈ। ਉਹ 2002 ਤੋਂ 2007 ਤੱਕ ਭਾਰਤ ਦੇ ਰਾਸ਼ਟਰਪਤੀ ਰਹੇ।",Politics
ਮੋਦੀ ਦੇ ਪਹਿਲੇ ਕਾਰਜਕਾਲ ਦੌਰਾਨ ਭਾਰਤ ਦਾ ਵਿੱਤ ਮੰਤਰੀ ਕੌਣ ਸੀ?,"ਅਰੁਣ ਜੇਤਲੀ (28 ਦਸੰਬਰ 1952 – 24 ਅਗਸਤ 2019) ਇੱਕ ਭਾਰਤੀ ਸਿਆਸਤਦਾਨ ਅਤੇ ਅਟਾਰਨੀ ਸੀ। ਭਾਰਤੀ ਜਨਤਾ ਪਾਰਟੀ ਦੇ ਮੈਂਬਰ, ਜੇਤਲੀ ਨੇ 2014 ਤੋਂ 2019 ਤੱਕ ਭਾਰਤ ਸਰਕਾਰ ਦੇ ਵਿੱਤ ਅਤੇ ਕਾਰਪੋਰੇਟ ਮਾਮਲਿਆਂ ਦੇ ਮੰਤਰੀ ਵਜੋਂ ਸੇਵਾ ਕੀਤੀ।",Politics
ਨਰਿੰਦਰ ਮੋਦੀ ਦੀਆਂ ਵਿੱਦਿਅਕ ਯੋਗਤਾਵਾਂ ਕੀ ਹਨ?,"1978 ਵਿੱਚ, ਮੋਦੀ ਨੇ ਦਿੱਲੀ ਯੂਨੀਵਰਸਿਟੀ ਦੇ ਸਕੂਲ ਆਫ਼ ਓਪਨ ਲਰਨਿੰਗ ਤੋਂ ਰਾਜਨੀਤੀ ਸ਼ਾਸਤਰ ਵਿੱਚ ਬੀਏ ਦੀ ਡਿਗਰੀ ਪ੍ਰਾਪਤ ਕੀਤੀ, ਤੀਜੀ ਜਮਾਤ ਨਾਲ ਗ੍ਰੈਜੂਏਸ਼ਨ ਕੀਤੀ। ਪੰਜ ਸਾਲ ਬਾਅਦ, 1983 ਵਿੱਚ, ਉਸਨੇ ਇੱਕ ਬਾਹਰੀ ਦੂਰੀ ਸਿੱਖਣ ਦੇ ਵਿਦਿਆਰਥੀ ਵਜੋਂ, ਗੁਜਰਾਤ ਯੂਨੀਵਰਸਿਟੀ ਤੋਂ ਰਾਜਨੀਤੀ ਸ਼ਾਸਤਰ ਵਿੱਚ ਮਾਸਟਰ ਆਫ਼ ਆਰਟਸ ਦੀ ਡਿਗਰੀ ਪ੍ਰਾਪਤ ਕੀਤੀ।",Politics
ਅਯੁੱਧਿਆ ਵਿੱਚ ਵਿਵਾਦਿਤ ਢਾਂਚਾ ਕਦੋਂ ਢਾਹਿਆ ਗਿਆ? ਰਾਜ ਕਿਹੋ ਜਿਹਾ ਸੀ। ਸਰਕਾਰ ਨੇ ਸਜ਼ਾ?,6 ਦਸੰਬਰ 1992 ਨੂੰ ਅਯੁੱਧਿਆ ਦੇ ਵਿਵਾਦਿਤ ਢਾਂਚੇ ਭਾਵ ਬਾਬਰੀ ਮਸਜਿਦ ਨੂੰ ਢਾਹ ਦਿੱਤਾ ਗਿਆ ਸੀ। ਉੱਤਰ ਪ੍ਰਦੇਸ਼ ਦੀ ਭਾਜਪਾ ਸਰਕਾਰ ਨੂੰ ਬਰਖਾਸਤ ਕਰ ਦਿੱਤਾ ਗਿਆ ਸੀ ਅਤੇ ਉੱਤਰ ਪ੍ਰਦੇਸ਼ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਵਿਰੁੱਧ ਸੁਪਰੀਮ ਕੋਰਟ ਵਿੱਚ ਅਦਾਲਤ ਦੀ ਮਾਣਹਾਨੀ ਦਾ ਕੇਸ ਦਰਜ ਕੀਤਾ ਗਿਆ ਸੀ।,Politics
ਸੰਵਿਧਾਨ ਦੀ ਕਿਹੜੀ ਧਾਰਾ ਭਾਰਤ ਦੇ ਰਾਸ਼ਟਰਪਤੀ ਦੀ ਚੋਣ ਨਾਲ ਸਬੰਧਤ ਹੈ?,"ਭਾਰਤ ਦੇ ਸੰਵਿਧਾਨ ਦੇ ਅਨੁਛੇਦ 54 ਦੇ ਅਨੁਸਾਰ, ਰਾਸ਼ਟਰਪਤੀ ਦੀ ਚੋਣ ਇੱਕ ਇਲੈਕਟੋਰਲ ਕਾਲਜ ਦੁਆਰਾ ਕੀਤੀ ਜਾਂਦੀ ਹੈ, ਜਿਸ ਵਿੱਚ ਸੰਸਦ ਦੇ ਦੋਵਾਂ ਸਦਨਾਂ ਦੇ ਚੁਣੇ ਹੋਏ ਮੈਂਬਰ ਅਤੇ ਸਾਰੇ ਰਾਜਾਂ ਦੀਆਂ ਵਿਧਾਨ ਸਭਾਵਾਂ ਦੇ ਚੁਣੇ ਗਏ ਮੈਂਬਰ ਅਤੇ ਦਿੱਲੀ ਦੇ ਐਨਸੀਟੀ ਅਤੇ ਐੱਨ. ਕੇਂਦਰ ਸ਼ਾਸਤ ਪ੍ਰਦੇਸ਼ ਪੁਡੂਚੇਰੀ।",Politics
ਮਹਾਰਾਸ਼ਟਰ ਵਿੱਚ ਲੋਕ ਸਭਾ ਸੀਟਾਂ ਦੀ ਗਿਣਤੀ ਕਿੰਨੀ ਹੈ?,"48 ਲੋਕ ਸਭਾ ਸੀਟਾਂ ਦੇ ਨਾਲ, ਮਹਾਰਾਸ਼ਟਰ ਉੱਤਰ ਪ੍ਰਦੇਸ਼ ਤੋਂ ਬਾਅਦ ਦੂਜੇ ਨੰਬਰ 'ਤੇ ਹੈ, ਜਿਸ ਦੀਆਂ 80 ਸੀਟਾਂ ਹਨ।",Politics
ਜਿਨ੍ਹਾਂ ਨੇ ਸੰਵਿਧਾਨ ਦੀ ਡਰਾਫਟ ਕਮੇਟੀ ਦੇ ਸਾਹਮਣੇ ਪ੍ਰਸਤਾਵਨਾ ਪੇਸ਼ ਕੀਤੀ,"ਪ੍ਰਸਤਾਵਨਾ ਨਹਿਰੂ ਦੇ ""ਉਦੇਸ਼ ਸੰਕਲਪ"" 'ਤੇ ਅਧਾਰਤ ਹੈ। ਜਵਾਹਰ ਲਾਲ ਨਹਿਰੂ ਨੇ ਇੱਕ ਉਦੇਸ਼ ਸੰਕਲਪ ਪ੍ਰਸਤਾਵਿਤ ਕੀਤਾ ਅਤੇ ਇਹ ਉਦੋਂ ਹੈ ਜਦੋਂ ਡਾ. ਬੀ.ਆਰ. ਅੰਬੇਡਕਰ ਨੇ ਸੰਵਿਧਾਨ ਦੇ ਪਾਠ ਅਤੇ ਪ੍ਰਸਤਾਵਨਾ ਨੂੰ ਡਿਜ਼ਾਈਨ ਕੀਤਾ ਸੀ।",Politics
