Question,Answer,Domain
१९२० तमे वर्षे असहयोग-आन्दोलनस्य आरम्भे कस्य मृत्युः अभवत् ?,"१९२० तमे वर्षे अगस्तमासस्य १ दिनाङ्के असहयोग-आन्दोलनस्य घोषणा अभवत्, तस्मिन् एव दिने प्रातःकाले बालगंगाधरतिलकस्य मृत्योः वार्ता आगता ।",Politics
लोखितवाडी' इति नाम्ना कः भारतीयः कार्यकर्ता लोकप्रियतया प्रसिद्धः आसीत् ?,"रावबहादुरगोपाल हरिदेशमुख () लोखीतवाडी नाम्ना अपि प्रसिद्धः (१८ फरवरी १८२३ – ९ अक्टोबर १८९२) महाराष्ट्रस्य एकः भारतीयः कार्यकर्ता, विचारकः, समाजसुधारकर्ता, लेखकः च आसीत् ।",Politics
भारतस्य प्रथमः राष्ट्रपतिः अमेरिकादेशस्य प्रथमः राष्ट्रपतिः च कः आसीत् ?,"राजेन्द्रप्रसादः भारतीयराजनेता, वकीलः, पत्रकारः, विद्वान् च आसीत् यः १९५० तः १९६२ पर्यन्तं भारतस्य प्रथमराष्ट्रपतिरूपेण कार्यं कृतवान् ।जार्ज वाशिङ्गटनः (२२ फरवरी, १७३२ – १४ दिसम्बर् १७९९) अमेरिकनसंस्थापकः पिता, सैन्यपदाधिकारी, राजनेता च आसीत् यः... १७८९ तः १७९७ पर्यन्तं अमेरिकादेशस्य प्रथमराष्ट्रपतिरूपेण कार्यं कृतवान् ।",Politics
अब्दुल कलमः कः आसीत् ? संक्षेपेण वर्णयतु।,"एपीजे अब्दुल कलाम (जन्म १५ अक्टोबर् १९३१, रामेश्वरम्, भारत-मृत्युः २७ जुलै २०१५, शिलाङ्ग) एकः भारतीयः वैज्ञानिकः राजनेता च आसीत् यः भारतस्य क्षेपणास्त्र-परमाणुशस्त्र-कार्यक्रमस्य विकासे अग्रणी भूमिकां निर्वहति स्म । सः २००२ तः २००७ पर्यन्तं भारतस्य राष्ट्रपतिः आसीत् ।",Politics
मोदी इत्यस्य प्रथमकार्यकाले भारतस्य वित्तमन्त्री कः आसीत् ?,अरुण जेटली (२८ दिसम्बर १९५२ – २४ अगस्त २०१९) भारतीयराजनेता वकिलः च आसीत् । भारतीयजनतापक्षस्य सदस्यः जेटली २०१४ तः २०१९ पर्यन्तं भारतसर्वकारस्य वित्त-निगममन्त्रीरूपेण कार्यं कृतवान् ।,Politics
नरेन्द्र मोदी के शैक्षणिक योग्यता कानि सन्ति ?,"१९७८ तमे वर्षे मोदी दिल्लीविश्वविद्यालयस्य स्कूल् आफ् ओपन लर्निङ्ग् इत्यस्मात् राजनीतिशास्त्रे बीए उपाधिं प्राप्तवान्, तृतीयवर्गेण स्नातकः अभवत् । पञ्चवर्षेभ्यः अनन्तरं १९८३ तमे वर्षे गुजरातविश्वविद्यालयात् राजनीतिशास्त्रे स्नातकोत्तरपदवीं प्राप्तवान्, बाह्यदूरशिक्षणस्य छात्रत्वेन ।",Politics
अयोध्यायां विवादितसंरचना कदा ध्वस्तं जातम् ? राज्यं कथं आसीत्। सर्वकारः दण्डितः ?,१९९२ तमे वर्षे डिसेम्बर्-मासस्य ६ दिनाङ्के अयोध्या अर्थात् बाबरी-मस्जिदस्य विवादास्पदं संरचना ध्वस्तं जातम् । उत्तरप्रदेशस्य भाजपासर्वकारं निरस्तं कृत्वा उत्तरप्रदेशस्य मुख्यमन्त्रीविरुद्धं सर्वोच्चन्यायालये न्यायालयस्य अवमाननायाः प्रकरणं रजिस्ट्रेशनं कृतम्।,Politics
संविधानस्य कस्मिन् अनुच्छेदे भारतस्य राष्ट्रपतिनिर्वाचनस्य विषये वर्तते ?,"भारतस्य संविधानस्य अनुच्छेद ५४ अनुसारं राष्ट्रपतिः निर्वाचनमहाविद्यालयेन निर्वाचितः भवति, यस्मिन् संसदस्य द्वयोः सदनयोः निर्वाचितसदस्याः तथा च सर्वेषां राज्यानां विधानसभानां निर्वाचितसदस्याः अपि च दिल्लीयाः एनसीटी तथा च... पुडुचेरी के केन्द्रीय क्षेत्र।",Politics
महाराष्ट्रे लोकसभासीनानां संख्या कियती अस्ति ?,४८ लोकसभासीटैः सह महाराष्ट्रदेशः उत्तरप्रदेशस्य पश्चात् द्वितीयस्थाने अस्ति यत्र ८० आसनानि सन्ति ।,Politics
संविधानस्य प्रारूपणसमित्याः समक्षं केन प्रस्तावना प्रस्ताविता,"प्रस्तावना “उद्देश्यसंकल्प” इत्यस्य आधारेण अस्ति, नेहरू इत्यस्य । जवाहरलालनेहरू इत्यनेन वस्तुनिष्ठः संकल्पः प्रस्तावितः तदा एव डॉ. बी.आर.अम्बेडकरः संविधानस्य पाठस्य प्रस्तावनायाश्च परिकल्पनां कृतवान् ।",Politics
