Question,Answer,Domain
1920ع ۾ عدم تعاون تحريڪ جي شروعات ڪنهن جي موت سان ٿي؟,1 آگسٽ 1920ع تي عدم تعاون جي تحريڪ جو اعلان ڪيو ويو، ان ئي ڏينهن صبح جو سوير بال گنگاڌر تلڪ جي موت جي خبر پهتي.,Politics
ڪهڙو هندستاني ڪارڪن مشهور طور تي 'لوکيت وادي' جي نالي سان مشهور هو؟,رائو بهادر گوپال هري ديشمک () جنهن کي لوڪيت وادي (18 فيبروري 1823 - 9 آڪٽوبر 1892) جي نالي سان پڻ سڃاتو وڃي ٿو، هڪ هندستاني سرگرم، مفڪر، سماج سڌارڪ ۽ مهاراشٽرا جو ليکڪ هو.,Politics
هندستان جو پهريون صدر ۽ آمريڪا جو پهريون صدر ڪير هو؟,راجندر پرساد هڪ هندستاني سياستدان، وڪيل، صحافي ۽ اسڪالر هو، جيڪو 1950ع کان 1962ع تائين هندستان جو پهريون صدر رهيو. جارج واشنگٽن (22 فيبروري 1732 - ڊسمبر 14، 1799) هڪ آمريڪي باني، فوجي آفيسر ۽ سياستدان هو. 1789ع کان 1797ع تائين آمريڪا جو پهريون صدر رهيو.,Politics
عبدالڪلام ڪير هو؟ مختصر طور بيان ڪريو.,APJ عبدالڪلام (پيدائش آڪٽوبر 15، 1931، راميشورم، هندستان - وفات 27 جولاء، 2015، شيلانگ) هڪ هندستاني سائنسدان ۽ سياستدان هو، جنهن هندستان جي ميزائل ۽ ايٽمي هٿيارن جي پروگرامن جي ترقي ۾ اهم ڪردار ادا ڪيو. هو 2002ع کان 2007ع تائين هندستان جو صدر رهيو.,Politics
مودي جي پهرين دور ۾ هندستان جو ناڻي وارو وزير ڪير هو؟,ارون جيٽلي (28 ڊسمبر 1952 - 24 آگسٽ 2019) هڪ هندستاني سياستدان ۽ وڪيل هو. ڀارتيه جنتا پارٽيءَ جو ميمبر، جيٽلي 2014ع کان 2019ع تائين هندستان جي حڪومت جي مالياتي ۽ ڪارپوريٽ معاملن واري وزير طور ڪم ڪيو.,Politics
نريندر مودي جي تعليمي قابليت ڪهڙي آهي؟,1978 ۾، مودي دهلي يونيورسٽي جي اسڪول آف اوپن لرننگ مان پوليٽيڪل سائنس ۾ بي اي جي ڊگري حاصل ڪئي، ٽئين ڪلاس سان گريجوئيشن ڪئي. پنجن سالن کان پوءِ، 1983ع ۾، هن گجرات يونيورسٽي مان پوليٽيڪل سائنس ۾ ماسٽر آف آرٽس جي ڊگري حاصل ڪئي، هڪ خارجي فاصلي جي سکيا واري شاگرد جي حيثيت ۾.,Politics
ايوڌيا ۾ تڪراري ڍانچي کي ڪڏهن ڊاهيو ويو؟ رياست ڪيئن هئي. حڪومت سزا ڏني؟,6 ڊسمبر 1992ع تي ايوڌيا جي تڪراري ڍانچي يعني بابري مسجد کي ڊاهي پٽ ڪيو ويو. اتر پرديش جي بي جي پي حڪومت کي برطرف ڪيو ويو ۽ سپريم ڪورٽ ۾ اتر پرديش جي وڏي وزير خلاف توهين عدالت جو ڪيس داخل ڪيو ويو.,Politics
آئين جو ڪهڙو آرٽيڪل هندستان جي صدر جي چونڊ سان واسطو رکي ٿو؟,هندستان جي آئين جي آرٽيڪل 54 جي مطابق، صدر هڪ چونڊيل ڪاليج طرفان چونڊيو ويندو آهي، جنهن ۾ پارليامينٽ جي ٻنهي ايوانن جي چونڊيل ميمبرن ۽ سڀني رياستن جي قانون ساز اسيمبلين جي چونڊيل ميمبرن ۽ دهلي جي اين سي ٽي جي چونڊيل ميمبرن تي مشتمل آهي. پڊوچري جو مرڪزي علائقو.,Politics
مهاراشٽر ۾ لوڪ سڀا جي سيٽن جو تعداد ڪيترو آهي؟,48 لوڪ سڀا سيٽن سان، مهاراشٽر اتر پرديش کان پوء ٻيو نمبر نمبر تي آهي، جنهن ۾ 80 سيٽون آهن.,Politics
جنهن آئين جي مسودي واري ڪميٽي اڳيان پيش ڪيل تجويز پيش ڪئي,"پريمبل نهرو جي ""Objective Resolution"" تي ٻڌل آهي. جواهر لعل نهرو هڪ مقصدي ٺهراءُ پيش ڪيو ۽ اهو ئي آهي جڏهن ڊاڪٽر بي آر امبيڊڪر آئين جو متن ۽ تمثيل تيار ڪئي.",Politics
1973ع ۾ چيف جسٽس آف انڊيا ڪير مقرر ٿيو؟ هي مقرري تڪراري ڇو ٿي؟,1973ع ۾ حڪومت ٽن ججن جي سينيئرٽي کي ختم ڪري جسٽس اي اين ري کي چيف جسٽس آف انڊيا مقرر ڪيو. مقرري سياسي طور تي تڪراري بڻجي وئي ڇو ته برطرف ڪيل ٽنهي ججن حڪومت جي موقف جي خلاف فيصلو ڏنو هو.,Politics
