Question,Answer,Domain
1920ல் ஒத்துழையாமை இயக்கம் தொடங்கப்பட்டபோது யாருடைய மரணம் நிகழ்ந்தது?,"1 ஆகஸ்ட் 1920 அன்று ஒத்துழையாமை இயக்கம் அறிவிக்கப்பட்டது, அதே நாள் அதிகாலையில் பாலகங்காதர திலகர் இறந்த செய்தி வந்தது.",Politics
லோகித்வாடி' என்று பிரபலமாக அறியப்பட்ட இந்திய ஆர்வலர் யார்?,"லோகித்வாடி என்றும் அழைக்கப்படும் ராவ் பகதூர் கோபால் ஹரி தேஷ்முக் (18 பிப்ரவரி 1823 - 9 அக்டோபர் 1892) ஒரு இந்திய ஆர்வலர், சிந்தனையாளர், சமூக சீர்திருத்தவாதி மற்றும் மகாராஷ்டிராவைச் சேர்ந்த எழுத்தாளர் ஆவார்.",Politics
இந்தியாவின் முதல் ஜனாதிபதி மற்றும் அமெரிக்காவின் முதல் ஜனாதிபதி யார்?,"ராஜேந்திர பிரசாத் ஒரு இந்திய அரசியல்வாதி, வழக்கறிஞர், பத்திரிகையாளர் மற்றும் அறிஞர் ஆவார், அவர் 1950 முதல் 1962 வரை இந்தியாவின் முதல் ஜனாதிபதியாக பணியாற்றினார். ஜார்ஜ் வாஷிங்டன் (பிப்ரவரி 22, 1732 - டிசம்பர் 14, 1799) ஒரு அமெரிக்க நிறுவனர் தந்தை, இராணுவ அதிகாரி மற்றும் அரசியல்வாதி ஆவார். 1789 முதல் 1797 வரை அமெரிக்காவின் முதல் ஜனாதிபதியாக பணியாற்றினார்.",Politics
அப்துல் கலாம் யார்? சுருக்கமாக விவரிக்க.,"APJ அப்துல் கலாம் (பிறப்பு: அக்டோபர் 15, 1931, ராமேஸ்வரம், இந்தியா-இறப்பு ஜூலை 27, 2015, ஷில்லாங்) ஒரு இந்திய விஞ்ஞானி மற்றும் அரசியல்வாதி ஆவார், அவர் இந்தியாவின் ஏவுகணை மற்றும் அணு ஆயுதத் திட்டங்களின் வளர்ச்சியில் முக்கிய பங்கு வகித்தார். 2002 முதல் 2007 வரை இந்தியாவின் ஜனாதிபதியாக இருந்தார்.",Politics
மோடியின் முதல் ஆட்சிக் காலத்தில் இந்தியாவின் நிதியமைச்சராக இருந்தவர் யார்?,"அருண் ஜெட்லி (28 டிசம்பர் 1952 - 24 ஆகஸ்ட் 2019) ஒரு இந்திய அரசியல்வாதி மற்றும் வழக்கறிஞர் ஆவார். பாரதிய ஜனதா கட்சியின் உறுப்பினரான ஜெட்லி, 2014 முதல் 2019 வரை இந்திய அரசின் நிதி மற்றும் பெருநிறுவன விவகார அமைச்சராகப் பணியாற்றினார்.",Politics
நரேந்திர மோடியின் கல்வித் தகுதி என்ன?,"1978 ஆம் ஆண்டில், மோடி டெல்லி பல்கலைக்கழகத்தில் திறந்த கற்றல் பள்ளியில் அரசியல் அறிவியலில் பிஏ பட்டம் பெற்றார், மூன்றாம் வகுப்பில் பட்டம் பெற்றார். ஐந்து ஆண்டுகளுக்குப் பிறகு, 1983 இல், அவர் குஜராத் பல்கலைக்கழகத்தில் அரசியல் அறிவியலில் முதுகலைப் பட்டம் பெற்றார்.",Politics
அயோத்தியில் சர்ச்சைக்குரிய கட்டிடம் எப்போது இடிக்கப்பட்டது? மாநிலம் எப்படி இருந்தது. அரசு தண்டிக்கப்பட்டதா?,"டிசம்பர் 6, 1992 அன்று சர்ச்சைக்குரிய அயோத்தியின் பாபர் மசூதி இடிக்கப்பட்டது. உத்தரப் பிரதேச பாஜக அரசு டிஸ்மிஸ் செய்யப்பட்டு, நீதிமன்ற அவமதிப்புக்காக உச்ச நீதிமன்றத்தில் உத்தரப் பிரதேச முதல்வர் மீது வழக்குப் பதிவு செய்யப்பட்டது.",Politics
இந்தியக் குடியரசுத் தலைவரைத் தேர்ந்தெடுக்கும் அரசியல் சட்டப் பிரிவு எது?,"இந்திய அரசியலமைப்பின் 54 வது பிரிவின்படி, குடியரசுத் தலைவர் ஒரு தேர்தல் கல்லூரியால் தேர்ந்தெடுக்கப்படுகிறார், இதில் நாடாளுமன்றத்தின் இரு அவைகளின் தேர்ந்தெடுக்கப்பட்ட உறுப்பினர்கள் மற்றும் அனைத்து மாநிலங்களின் சட்டமன்றங்களின் தேர்ந்தெடுக்கப்பட்ட உறுப்பினர்கள் மற்றும் டெல்லியின் NCT மற்றும் புதுச்சேரி யூனியன் பிரதேசம்.",Politics
மகாராஷ்டிராவில் உள்ள மக்களவைத் தொகுதிகளின் எண்ணிக்கை என்ன?,"48 மக்களவைத் தொகுதிகளுடன், மகாராஷ்டிரா 80 இடங்களைக் கொண்ட உத்தரப் பிரதேசத்திற்கு அடுத்தபடியாக அதிக இடங்களைக் கொண்டுள்ளது.",Politics
அரசியலமைப்பின் வரைவுக் குழுவின் முன் முன்னுரையை முன்மொழிந்தவர்,"முன்னுரை நேருவின் ""புறநிலை தீர்மானம்"" அடிப்படையிலானது. ஜவஹர்லால் நேரு ஒரு புறநிலை தீர்மானத்தை முன்மொழிந்தார், அப்போதுதான் டாக்டர் பிஆர் அம்பேத்கர் அரசியலமைப்பு மற்றும் முகவுரையின் உரையை வடிவமைத்தார்.",Politics
1973 இல் இந்தியாவின் தலைமை நீதிபதியாக நியமிக்கப்பட்டவர் யார்? இந்த நியமனம் ஏன் சர்ச்சையானது?,"1973 ஆம் ஆண்டில், அரசாங்கம் மூன்று நீதிபதிகளின் பணி மூப்பை ஒதுக்கி, நீதிபதி ஏ.என்.ரேயை இந்தியாவின் தலைமை நீதிபதியாக நியமித்தது. பதவி நீக்கம் செய்யப்பட்ட மூன்று நீதிபதிகளும் அரசின் நிலைப்பாட்டுக்கு எதிராக தீர்ப்பு வழங்கியதால் இந்த நியமனம் அரசியல் ரீதியாக சர்ச்சையானது.",Politics
மார்ச் 1977 பொதுத் தேர்தலில் ஜனதா கட்சியும் அதன் கூட்டணிக் கட்சிகளும் எத்தனை மக்களவைத் தொகுதிகளை வென்றன?,மக்களவையில் 542 இடங்களில் ஜனதா கட்சியும் அதன் கூட்டணிக் கட்சிகளும் 330 இடங்களில் வெற்றி பெற்றன; ஜனதா கட்சியே 295 இடங்களில் வெற்றி பெற்று தனிப்பெரும்பான்மை பெற்றது.,Politics
2024 இன் படி மகாராஷ்டிராவின் முதல்வர் யார்?,"ஏக்நாத் சாம்பாஜி ஷிண்டே ஒரு இந்திய அரசியல்வாதி ஆவார், அவர் 30 ஜூன் 2022 முதல் மகாராஷ்டிராவின் 20வது மற்றும் தற்போதைய முதலமைச்சராக பணியாற்றுகிறார். அவர் பிப்ரவரி 2023 முதல் சிவசேனாவின் தலைவராகவும், ஜூலை 2022 முதல் மகாராஷ்டிர சட்டமன்றத்தின் அவைத் தலைவராகவும் பணியாற்றுகிறார். .",Politics
"1975 ஆம் ஆண்டு ஜூன் 12 ஆம் தேதி பிரதமர் இந்திரா காந்திக்கு எதிராக எந்த உயர்நீதிமன்றம் தீர்ப்பு வழங்கியது, மேலும் அவர் 1971 ஆம் ஆண்டு மக்களவை உறுப்பினர் பதவியை இழந்தார்.","உத்திரபிரதேச மாநிலம் எதிராக ராஜ் நரேன் (1975 ஏஐஆர் 865, 1975 எஸ்சிஆர் (3) 333) என்பது அலகாபாத் உயர் நீதிமன்றத்தால் 1975 இல் விசாரிக்கப்பட்ட வழக்கு, இது இந்தியப் பிரதமர் இந்திரா காந்தி தேர்தல் முறைகேடுகளில் ஈடுபட்டதாகக் கண்டறிந்தது.",Politics
இந்தியாவில் சமஸ்தானங்களை ஒன்றிணைப்பதில் சர்தார் படேல் ஆற்றிய பங்கை விளக்குங்கள்.,"சர்தார் படேல் இந்தியாவின் துணைப் பிரதமராகவும், சுதந்திரத்திற்குப் பிறகு உடனடியாக முக்கியமான காலகட்டத்தில் உள்துறை அமைச்சராகவும் இருந்தார். சமஸ்தானங்களின் ஆட்சியாளர்களுடன் உறுதியாக ஆனால் இராஜதந்திர ரீதியாக பேச்சுவார்த்தை நடத்தி அவர்களில் பெரும்பாலோரை இந்திய யூனியனுக்குள் கொண்டு வருவதில் அவர் வரலாற்றுப் பங்காற்றினார். இந்தியாவில் உள்ள சமஸ்தானங்களை ஒன்றிணைப்பதில் சர்தார் படேல் பின்வரும் பாத்திரங்களை வகித்தார்: அவர் ராஜதந்திரம் மற்றும் பேச்சுவார்த்தை மூலம் சமஸ்தானங்களில் இருந்து இணைவதற்கான கடிதத்தை வாங்கினார். ஹைதராபாத், ஜூனாகத், மணிப்பூர் மற்றும் காஷ்மீர் ஆகிய மாநிலங்களை ஒன்றிணைப்பதற்காக பலத்தையும் வற்புறுத்தலையும் பயன்படுத்தினார்.",Politics
1952 முதல் பொதுத் தேர்தலில் காங்கிரஸ் கட்சி மற்றும் பாரதிய ஜனசங்கத்தின் தேர்தல் சின்னங்கள் என்ன?,"1952 முதல் பொதுத் தேர்தலில் காங்கிரஸ் கட்சியின் சின்னமாக ஜோடி எருதுகளும், தீபக் சின்னம் பாரதிய ஜனசங்கத்தின் சின்னமாகவும் இருந்தது.",Politics
சிவசேனாவின் தலைமையகம் எங்கே?,"சிவசேனாவின் தலைமையகம் மற்றும் பிரதான அலுவலகம் தானேயில் உள்ள ஆனந்த் திகேயின் வீட்டில் அமைந்துள்ளது. திகே சிவசேனா முகி நேதா (முக்கிய தலைவர்) ஏக்நாத் ஷிண்டேவின் குரு மற்றும் வழிகாட்டி ஆவார். 24 பிப்ரவரி 2023 அன்று, உத்தவ் தாக்கரேவிடமிருந்து கட்சியை ஷிண்டே எடுத்துக் கொண்ட பிறகு, சிவசேனா பவனில் இருந்து தலைமையகம் மாற்றப்பட்டது;[75] அதே நேரத்தில் தாக்கரேயின் பிரிவு சிவசேனா பவனில் கட்டுப்பாட்டைத் தக்க வைத்துக் கொண்டது.",Politics
சொந்தமாக அதிகாரப்பூர்வ கொடியை வைத்திருந்த ஒரே இந்திய மாநிலம் எது?,"ஜம்மு காஷ்மீர் மாநிலக் கொடியானது, 1952 மற்றும் 2019 க்கு இடையில், இந்திய அரசியலமைப்புச் சட்டத்தின் 370 வது பிரிவின் மூலம் பிராந்தியத்திற்கு வழங்கப்பட்ட சிறப்பு அந்தஸ்தின் கீழ், முன்னாள் இந்திய மாநிலமான ஜம்மு மற்றும் காஷ்மீரில் பயன்படுத்தப்பட்ட ஒரு சின்னமாகும். இது ஒரு கலப்பை மற்றும் மாநிலத்தின் மூன்று பகுதிகளின் பிரதிநிதித்துவத்துடன் சிவப்பு மற்றும் வெள்ளை கொடியாக இருந்தது. ஆகஸ்ட் 2019 இல் பிரிவு 370 ரத்து செய்யப்பட்ட பிறகு, இந்தக் கொடி அதன் அதிகாரப்பூர்வ அந்தஸ்தை இழந்தது.",Politics
பஞ்சாபில் ஆதிக்கம் செலுத்தும் மூன்று அரசியல் கட்சிகளை பட்டியலிடுங்கள்?,"மறுசீரமைக்கப்பட்ட இன்றைய பஞ்சாபில் அரசியல் முக்கியமாக மூன்று கட்சிகளால் ஆதிக்கம் செலுத்துகிறது - இந்திய தேசிய காங்கிரஸ், ஆம் ஆத்மி கட்சி மற்றும் சிரோமணி அகாலி தளம் (பாதால்).",Politics
