Question,Answer,Domain
1920లో సహాయ నిరాకరణోద్యమం ప్రారంభించిన సమయంలో ఎవరి మరణం సంభవించింది?,"1 ఆగస్టు 1920న సహాయ నిరాకరణ ఉద్యమం ప్రకటించబడింది, అదే రోజు తెల్లవారుజామున బాలగంగాధర తిలక్ మరణవార్త వచ్చింది.",Politics
లోఖిత్వాడి'గా ప్రసిద్ధి చెందిన భారతీయ కార్యకర్త ఎవరు?,"రావ్ బహదూర్ గోపాల్ హరి దేశ్‌ముఖ్ () లోఖిత్వాడి అని కూడా పిలుస్తారు (18 ఫిబ్రవరి 1823 - 9 అక్టోబర్ 1892) మహారాష్ట్రకు చెందిన భారతీయ కార్యకర్త, ఆలోచనాపరుడు, సంఘ సంస్కర్త మరియు రచయిత.",Politics
భారతదేశ మొదటి అధ్యక్షుడు మరియు USA మొదటి అధ్యక్షుడు ఎవరు?,"రాజేంద్ర ప్రసాద్ ఒక భారతీయ రాజకీయ నాయకుడు, న్యాయవాది, పాత్రికేయుడు మరియు విద్వాంసుడు, అతను 1950 నుండి 1962 వరకు భారతదేశానికి మొదటి రాష్ట్రపతిగా పనిచేశాడు. జార్జ్ వాషింగ్టన్ (ఫిబ్రవరి 22, 1732 - డిసెంబర్ 14, 1799) ఒక అమెరికన్ వ్యవస్థాపక తండ్రి, సైనిక అధికారి మరియు రాజకీయ నాయకుడు. 1789 నుండి 1797 వరకు యునైటెడ్ స్టేట్స్ యొక్క మొదటి అధ్యక్షుడిగా పనిచేశాడు.",Politics
అబ్దుల్ కలాం ఎవరు? క్లుప్తంగా వివరించండి.,"APJ అబ్దుల్ కలాం (జననం అక్టోబరు 15, 1931, రామేశ్వరం, భారతదేశం-మరణం జూలై 27, 2015, షిల్లాంగ్) భారతదేశం యొక్క క్షిపణి మరియు అణ్వాయుధ కార్యక్రమాల అభివృద్ధిలో ప్రముఖ పాత్ర పోషించిన భారతీయ శాస్త్రవేత్త మరియు రాజకీయవేత్త. అతను 2002 నుండి 2007 వరకు భారతదేశానికి రాష్ట్రపతిగా ఉన్నారు.",Politics
మోదీ మొదటి టర్మ్‌లో భారత ఆర్థిక మంత్రి ఎవరు?,"అరుణ్ జైట్లీ (28 డిసెంబర్ 1952 - 24 ఆగస్టు 2019) ఒక భారతీయ రాజకీయ నాయకుడు మరియు న్యాయవాది. భారతీయ జనతా పార్టీ సభ్యుడు, జైట్లీ 2014 నుండి 2019 వరకు భారత ప్రభుత్వ ఆర్థిక మరియు కార్పొరేట్ వ్యవహారాల మంత్రిగా పనిచేశారు.",Politics
నరేంద్ర మోడీ విద్యార్హతలు ఏమిటి?,"1978లో, మోడీ ఢిల్లీ యూనివర్సిటీలోని స్కూల్ ఆఫ్ ఓపెన్ లెర్నింగ్ నుండి పొలిటికల్ సైన్స్‌లో BA పట్టా పొందారు, మూడవ తరగతితో గ్రాడ్యుయేషన్ చేశారు. ఐదు సంవత్సరాల తరువాత, 1983లో, అతను గుజరాత్ విశ్వవిద్యాలయం నుండి బాహ్య దూరవిద్య విద్యార్థిగా రాజకీయ శాస్త్రంలో మాస్టర్ ఆఫ్ ఆర్ట్స్ డిగ్రీని పొందాడు.",Politics
అయోధ్యలోని వివాదాస్పద కట్టడాన్ని ఎప్పుడు కూల్చివేశారు? రాష్ట్రం ఎలా ఉండేది. ప్రభుత్వం శిక్షించిందా?,"డిసెంబర్ 6, 1992న వివాదాస్పద అయోధ్య నిర్మాణం అంటే బాబ్రీ మసీదు కూల్చివేయబడింది. ఉత్తరప్రదేశ్‌లోని బీజేపీ ప్రభుత్వాన్ని రద్దు చేయడంతోపాటు ఉత్తరప్రదేశ్ ముఖ్యమంత్రిపై సుప్రీంకోర్టులో కోర్టు ధిక్కరణ కేసు నమోదైంది.",Politics
రాజ్యాంగంలోని ఏ ఆర్టికల్ భారత రాష్ట్రపతి ఎన్నిక గురించి తెలియజేస్తుంది?,"భారత రాజ్యాంగంలోని ఆర్టికల్ 54 ప్రకారం, ప్రెసిడెంట్ ఎలక్టోరల్ కాలేజీ ద్వారా ఎన్నుకోబడతారు, ఇందులో పార్లమెంటు ఉభయ సభలకు ఎన్నికైన సభ్యులు మరియు అన్ని రాష్ట్రాల శాసనసభలు మరియు ఢిల్లీ మరియు NCT యొక్క ఎన్నికైన సభ్యులు ఉంటారు. పుదుచ్చేరి కేంద్రపాలిత ప్రాంతం.",Politics
మహారాష్ట్ర లోక్‌సభ స్థానాల సంఖ్య ఎంత?,"48 లోక్‌సభ స్థానాలతో, 80 స్థానాలున్న ఉత్తరప్రదేశ్ తర్వాత అత్యధిక స్థానాల్లో మహారాష్ట్ర రెండవ స్థానంలో ఉంది.",Politics
రాజ్యాంగ ముసాయిదా కమిటీ ముందు పీఠికను ఎవరు ప్రతిపాదించారు,"పీఠిక నెహ్రూ యొక్క ""ఆబ్జెక్టివ్ రిజల్యూషన్"" ఆధారంగా రూపొందించబడింది. జవహర్‌లాల్ నెహ్రూ ఆబ్జెక్టివ్ రిజల్యూషన్‌ను ప్రతిపాదించారు మరియు ఆ సమయంలోనే డాక్టర్ బిఆర్ అంబేద్కర్ రాజ్యాంగం మరియు పీఠికను రూపొందించారు.",Politics
