Question,Answer,Domain
1920 میں تحریک عدم تعاون کے آغاز کے ساتھ ہی کس کی موت واقع ہوئی؟,یکم اگست 1920 کو عدم تعاون کی تحریک کا اعلان ہوا، اسی دن صبح سویرے بال گنگادھر تلک کی موت کی خبر آئی۔,Politics
کون سا ہندوستانی کارکن 'لوکھیت واڑی' کے نام سے مشہور تھا؟,راؤ بہادر گوپال ہری دیش مکھ () جسے لوکیت واڑی کے نام سے بھی جانا جاتا ہے (18 فروری 1823 - 9 اکتوبر 1892) مہاراشٹر کے ایک ہندوستانی کارکن، مفکر، سماجی مصلح اور مصنف تھے۔,Politics
ہندوستان کا پہلا صدر اور امریکہ کا پہلا صدر کون تھا؟,راجندر پرساد ایک ہندوستانی سیاست دان، وکیل، صحافی اور اسکالر تھے جنہوں نے 1950 سے 1962 تک ہندوستان کے پہلے صدر کے طور پر خدمات انجام دیں۔ جارج واشنگٹن (22 فروری 1732 - 14 دسمبر 1799) ایک امریکی بانی، فوجی افسر اور سیاست دان تھے۔ 1789 سے 1797 تک ریاستہائے متحدہ کے پہلے صدر کے طور پر خدمات انجام دیں۔,Politics
عبدالکلام کون تھے؟ مختصر طور پر بیان کریں.,اے پی جے عبدالکلام (پیدائش اکتوبر 15، 1931، رامیشورم، بھارت — وفات 27 جولائی، 2015، شیلانگ) ایک ہندوستانی سائنسدان اور سیاست دان تھے جنہوں نے ہندوستان کے میزائل اور جوہری ہتھیاروں کے پروگرام کی ترقی میں اہم کردار ادا کیا۔ وہ 2002 سے 2007 تک ہندوستان کے صدر رہے۔,Politics
مودی کے پہلے دور حکومت میں ہندوستان کا وزیر خزانہ کون تھا؟,ارون جیٹلی (28 دسمبر 1952 - 24 اگست 2019) ایک ہندوستانی سیاست دان اور وکیل تھے۔ بھارتیہ جنتا پارٹی کے رکن، جیٹلی نے 2014 سے 2019 تک حکومت ہند کے مالیات اور کارپوریٹ امور کے وزیر کے طور پر خدمات انجام دیں۔,Politics
نریندر مودی کی تعلیمی قابلیت کیا ہے؟,1978 میں، مودی نے دہلی یونیورسٹی کے سکول آف اوپن لرننگ سے پولیٹیکل سائنس میں بی اے کی ڈگری حاصل کی، تیسری جماعت کے ساتھ گریجویشن کیا۔ پانچ سال بعد، 1983 میں، انہوں نے بیرونی فاصلاتی تعلیم کے طالب علم کے طور پر، گجرات یونیورسٹی سے سیاسیات میں ماسٹر آف آرٹس کی ڈگری حاصل کی۔,Politics
ایودھیا میں متنازعہ ڈھانچہ کب گرایا گیا؟ ریاست کیسی تھی۔ حکومت کو سزا؟,6 دسمبر 1992 کو ایودھیا کے متنازعہ ڈھانچے یعنی بابری مسجد کو منہدم کر دیا گیا۔ اتر پردیش کی بی جے پی حکومت کو برطرف کر دیا گیا اور اتر پردیش کے وزیر اعلیٰ کے خلاف سپریم کورٹ میں توہین عدالت کا مقدمہ درج کیا گیا۔,Politics
آئین کا کون سا آرٹیکل ہندوستان کے صدر کے انتخاب سے متعلق ہے؟,آئین ہند کے آرٹیکل 54 کے مطابق صدر کا انتخاب ایک الیکٹورل کالج کے ذریعے کیا جاتا ہے، جس میں پارلیمنٹ کے دونوں ایوانوں کے منتخب اراکین اور تمام ریاستوں کی قانون ساز اسمبلیوں کے منتخب اراکین اور دہلی کے این سی ٹی کے بھی منتخب اراکین شامل ہوتے ہیں۔ مرکز کے زیر انتظام علاقہ پڈوچیری۔,Politics
مہاراشٹر میں لوک سبھا کی سیٹوں کی تعداد کتنی ہے؟,48 لوک سبھا سیٹوں کے ساتھ، مہاراشٹر میں اتر پردیش کے بعد دوسری سب سے زیادہ سیٹیں ہیں، جس کی 80 سیٹیں ہیں۔,Politics
جس نے آئین کی ڈرافٹنگ کمیٹی کے سامنے تمہید کی تجویز پیش کی۔,"تمہید نہرو کے ""Objective Resolution"" پر مبنی ہے۔ جواہر لعل نہرو نے ایک معروضی قرارداد کی تجویز پیش کی اور یہ وہ وقت تھا جب ڈاکٹر بی آر امبیڈکر نے آئین کے متن اور تمہید کو ڈیزائن کیا۔",Politics
1973 میں چیف جسٹس آف انڈیا کس کو مقرر کیا گیا تھا؟ یہ تقرری متنازعہ کیوں ہوئی؟,1973 میں حکومت نے تین ججوں کی سنیارٹی کو ایک طرف رکھا اور جسٹس اے این رے کو چیف جسٹس آف انڈیا مقرر کیا۔ یہ تقرری سیاسی طور پر متنازعہ بن گئی کیونکہ ان تینوں ججوں نے حکومت کے موقف کے خلاف فیصلے دیے تھے۔,Politics
مارچ 1977 کے عام انتخابات میں جنتا پارٹی اور اس کے اتحادیوں نے لوک سبھا کی کتنی سیٹیں جیتی تھیں؟,جنتا پارٹی اور اس کے اتحادیوں نے لوک سبھا کی 542 میں سے 330 سیٹیں جیتیں۔ جنتا پارٹی نے خود 295 نشستیں حاصل کیں اور اس طرح واضح اکثریت حاصل کی۔,Politics
2024 تک مہاراشٹر کے وزیر اعلیٰ کون ہیں؟,ایکناتھ سمبھاجی شندے ایک ہندوستانی سیاست دان ہیں جو 30 جون 2022 سے مہاراشٹر کے 20ویں اور موجودہ وزیر اعلیٰ کے طور پر خدمات انجام دے رہے ہیں۔ وہ فروری 2023 سے شیو سینا کے رہنما اور جولائی 2022 سے مہاراشٹر قانون ساز اسمبلی کے قائد ایوان کے طور پر بھی خدمات انجام دے رہے ہیں۔ .,Politics
12 جون 1975 کو کس ہائی کورٹ نے وزیر اعظم اندرا گاندھی کے خلاف فیصلہ دیا اور وہ 1971 کی لوک سبھا کی رکنیت سے محروم ہوگئیں۔,"ریاست اتر پردیش بمقابلہ راج نارائن (1975 AIR 865, 1975 SCR (3) 333) 1975 کا ایک مقدمہ تھا جس کی الہ آباد ہائی کورٹ نے سماعت کی جس میں ہندوستان کی وزیر اعظم اندرا گاندھی کو انتخابی بدانتظامی کا قصوروار پایا گیا۔",Politics
ہندوستان میں ریاستوں کے اتحاد میں سردار پٹیل کے کردار کی وضاحت کریں۔,سردار پٹیل آزادی کے فوری بعد کے اہم دور میں ہندوستان کے نائب وزیر اعظم اور وزیر داخلہ تھے۔ اس نے شاہی ریاستوں کے حکمرانوں کے ساتھ مضبوطی سے لیکن سفارتی طور پر مذاکرات کرنے اور ان میں سے بیشتر کو ہندوستانی یونین میں لانے میں تاریخی کردار ادا کیا۔ سردار پٹیل نے ہندوستان میں شاہی ریاستوں کے اتحاد میں درج ذیل کردار ادا کیے: انہوں نے سفارت کاری اور گفت و شنید کے ذریعے شاہی ریاستوں سے الحاق کا خط حاصل کیا۔ اس نے حیدرآباد، جوناگڑھ، منی پور اور کشمیر کی ریاستوں کے ساتھ انضمام کے لیے طاقت اور قائل کیا۔,Politics
1952 کے پہلے عام انتخابات میں کانگریس پارٹی اور بھارتیہ جن سنگھ کے انتخابی نشان کیا تھے؟,1952 کے پہلے عام انتخابات میں کانگریس پارٹی کا نشان بیلوں کی جوڑی اور چراغ (دیپک) بھارتیہ جن سنگھ کا نشان تھا۔,Politics
شیو سینا کا ہیڈ کوارٹر کہاں ہے؟,شیو سینا کا ہیڈکوارٹر اور مرکزی دفتر آنند دیگے کے گھر تھانے میں واقع ہے۔ دیگے شیو سینا مکھی نیتا (اہم رہنما) ایکناتھ شندے کے گرو اور سرپرست تھے۔ 24 فروری 2023 کو، شندے نے ادھو ٹھاکرے سے پارٹی کی باگ ڈور سنبھالنے کے بعد ہیڈ کوارٹر کو شیوسینا بھون سے منتقل کر دیا گیا؛ [75] جبکہ ٹھاکرے کے دھڑے نے شیوسینا بھون پر اپنا کنٹرول برقرار رکھا۔,Politics
